Class::Test,TarUtils:55, TarUtils:65, TarUtils:67, TarUtils:107, TarUtils:111, TarUtils:116, TarUtils:117, TarUtils:129, TarUtils:133, TarUtils:138, TarUtils:141, TarUtils:172, TarUtils:175, TarUtils:176, TarUtils:185, TarUtils:192, TarUtils:195, TarUtils:200, TarUtils:210, TarUtils:214, TarUtils:220, TarUtils:234, TarUtils:295, TarUtils:296, TarUtils:300, TarUtils:360, TarUtils:367, TarUtils:387, TarUtils:391, TarUtils:397, TarUtils:403, TarUtils:478, TarUtils:480, TarUtils:481, TarUtils:485, TarUtils:490, TarUtils:500, TarUtils:504, TarUtils:509, TarUtils:524, TarUtils:525, TarUtils:564, TarUtils:612, TarUtils:614, TarUtils:615, TarUtils:617, TarUtils:626, 
RegressionTest3::test1519, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1520, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1521, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1522, 0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1523, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1524, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1525, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1526, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1527, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1528, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1529, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1530, 1,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1531, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1532, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1533, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1534, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1535, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1536, 0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1537, 1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1538, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1539, 0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1540, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1541, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1542, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1543, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1544, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1545, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1546, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1547, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1548, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1549, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1550, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1551, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1552, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1553, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1554, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1555, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1556, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1557, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1558, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1559, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1560, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1561, 0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1562, 1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1563, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1564, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1565, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1566, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1567, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1568, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1569, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1570, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1571, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1572, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1573, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1574, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1575, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1576, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1577, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1578, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1579, 0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1580, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1581, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1582, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1583, 0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1584, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1585, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1586, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,
RegressionTest3::test1587, 1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1588, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1589, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1590, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1591, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1592, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1593, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1594, 0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1595, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1596, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1597, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest3::test1598, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1599, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1600, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1601, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1602, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1603, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1604, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1605, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,
RegressionTest3::test1606, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1607, 1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1608, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,
RegressionTest3::test1609, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1610, 0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
RegressionTest3::test1611, 0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0,0,0.5,
