Class::Test,MultivariateNormalDistribution:76, MultivariateNormalDistribution:77, MultivariateNormalDistribution:103, MultivariateNormalDistribution:105, MultivariateNormalDistribution:107, MultivariateNormalDistribution:108, MultivariateNormalDistribution:111, MultivariateNormalDistribution:112, MultivariateNormalDistribution:113, MultivariateNormalDistribution:117, MultivariateNormalDistribution:119, MultivariateNormalDistribution:122, MultivariateNormalDistribution:125, MultivariateNormalDistribution:127, MultivariateNormalDistribution:130, MultivariateNormalDistribution:132, MultivariateNormalDistribution:133, MultivariateNormalDistribution:134, MultivariateNormalDistribution:139, MultivariateNormalDistribution:140, MultivariateNormalDistribution:141, MultivariateNormalDistribution:142, MultivariateNormalDistribution:145, MultivariateNormalDistribution:148, MultivariateNormalDistribution:149, MultivariateNormalDistribution:150, MultivariateNormalDistribution:151, MultivariateNormalDistribution:155, MultivariateNormalDistribution:156, MultivariateNormalDistribution:164, MultivariateNormalDistribution:173, MultivariateNormalDistribution:178, MultivariateNormalDistribution:179, MultivariateNormalDistribution:180, MultivariateNormalDistribution:183, MultivariateNormalDistribution:184, MultivariateNormalDistribution:185, MultivariateNormalDistribution:195, MultivariateNormalDistribution:196, MultivariateNormalDistribution:197, MultivariateNormalDistribution:198, MultivariateNormalDistribution:199, MultivariateNormalDistribution:201, MultivariateNormalDistribution:206, MultivariateNormalDistribution:207, MultivariateNormalDistribution:209, MultivariateNormalDistribution:210, MultivariateNormalDistribution:213, MultivariateNormalDistribution:215, MultivariateNormalDistribution:216, MultivariateNormalDistribution:219, MultivariateNormalDistribution:229, MultivariateNormalDistribution:230, MultivariateNormalDistribution:231, MultivariateNormalDistribution:233, MultivariateNormalDistribution:234, MultivariateNormalDistribution:235, MultivariateNormalDistribution:236, MultivariateNormalDistribution:238, 
RegressionTest0::test08, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test09, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test10, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test11, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test12, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test13, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test14, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test15, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test16, 0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testGetMean, 1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testGetCovarianceMatrix, 1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testSampling, 1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
MultivariateNormalDistributionTest::testDensities, 1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
MultivariateNormalDistributionTest::testUnivariateDistribution, 1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
