Class::Test,MultidimensionalCounter:93, MultidimensionalCounter:94, MultidimensionalCounter:106, MultidimensionalCounter:107, MultidimensionalCounter:173, MultidimensionalCounter:175, MultidimensionalCounter:183, MultidimensionalCounter:217, MultidimensionalCounter:225, MultidimensionalCounter:228, MultidimensionalCounter:254, MultidimensionalCounter:258, MultidimensionalCounter:260, MultidimensionalCounter:292, 
RegressionTest0::test031, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test032, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test033, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test034, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test035, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test036, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test037, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0,
RegressionTest0::test038, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test039, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test040, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test041, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,
RegressionTest0::test042, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test043, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test044, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test045, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test046, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test047, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test048, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test049, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test050, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test051, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test052, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test053, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test054, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test055, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test056, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test057, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test058, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test059, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test060, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test061, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test062, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test063, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test064, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test065, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test066, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test067, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test068, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test069, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test070, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test071, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test072, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test073, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test074, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test075, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test076, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test077, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test078, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test079, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test080, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test081, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test082, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test083, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test084, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test085, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test086, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test087, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test088, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test089, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test090, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test091, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test092, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test093, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test094, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test095, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test096, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test097, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test098, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test099, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test100, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test101, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test102, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test103, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test104, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test105, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test106, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test107, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test108, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test109, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test110, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,
RegressionTest0::test111, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test112, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test113, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test114, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test115, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test116, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test117, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test118, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test119, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test120, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test121, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test122, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test123, 0,0,0,0,1,1,1,0.5,1,1,0,0,0,0,
RegressionTest0::test124, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test125, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test126, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test127, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test128, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test129, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test130, 0,0,0,0,1,1,1,0,0,0,0,0,0,0,
RegressionTest0::test131, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test132, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test133, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test134, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test135, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test136, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test137, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test138, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test139, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test140, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test141, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test142, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test143, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test144, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test145, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test146, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test147, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test148, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test149, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test150, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test151, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test152, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test153, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test154, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test155, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test156, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test157, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test158, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test159, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test160, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test161, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test162, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test163, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test164, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test165, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test166, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test167, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test168, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test169, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test170, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test171, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test172, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test173, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test174, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test175, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test176, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test177, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test178, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test179, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test180, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test181, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test182, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test183, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test184, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test185, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test186, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test187, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test188, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test189, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test190, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test191, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test192, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test193, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test194, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test195, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test196, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test197, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test198, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test199, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test200, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test201, 0.5,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test202, 0,0,0,0,1,1,1,0,0,0,0,0,0,0,
RegressionTest0::test203, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test204, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test205, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test206, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test207, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test208, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,
RegressionTest0::test209, 0,0,0,0,1,1,0.5,0.5,1,1,0.5,0,0,0.5,
RegressionTest0::test210, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test211, 0.5,0.5,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test212, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test213, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test214, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test215, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test216, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test217, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test218, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test219, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test220, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test221, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test222, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test223, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test224, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test225, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test226, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test227, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test228, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test229, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0,
RegressionTest0::test230, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test231, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test232, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test233, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test234, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test235, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test236, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test237, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test238, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test239, 0,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,
RegressionTest0::test240, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
RegressionTest0::test241, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test242, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
RegressionTest0::test243, 0,0,0,0,1,1,0.5,0,0,0,0.5,0.5,0.5,0,
RegressionTest0::test244, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
RegressionTest0::test245, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounterTest::testPreconditions, 0,0,0,0,1,1,1,0.5,0,0,1,0.5,1,0,
MultidimensionalCounterTest::testIteratorPreconditions, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounterTest::testMulti2UniConversion, 0,0,0,0,1,1,0.5,0,0,0,0.5,1,0.5,0,
MultidimensionalCounterTest::testAccessors, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounterTest::testIterationConsistency, 1,1,0.5,1,1,1,0.5,0.5,1,1,0.5,1,0.5,0,
MultidimensionalCounter_ESTest::test00, 0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test01, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test02, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test03, 0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test04, 0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test05, 0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test06, 1,1,1,1,0.5,0,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test07, 0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test08, 0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test09, 0,0,0,0,1,1,0.5,0.5,1,1,0,0,0,0,
MultidimensionalCounter_ESTest::test10, 0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,
MultidimensionalCounter_ESTest::test11, 0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,
MultidimensionalCounter_ESTest::test12, 0,0,0,0,1,1,0.5,0,0,0,0.5,0,0,0.5,
MultidimensionalCounter_ESTest::test13, 0,0,0,0,0.5,0,0.5,0,0,0,0.5,1,0.5,1,
MultidimensionalCounter_ESTest::test14, 0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,
