Class::Test,Line:76, Line:148, Line:156, Line:177, Line:197, Line:217, 
RegressionTest0::test100, 0.5,0,0,0,0,0,
RegressionTest0::test101, 0.5,0,0,0,0,0,
RegressionTest0::test102, 0.5,0,0,0,0,0,
RegressionTest0::test103, 0.5,0,0.5,0,0,0,
RegressionTest0::test104, 0.5,0,0,0,0,0,
RegressionTest0::test105, 0.5,0,0.5,0,0,0,
RegressionTest0::test106, 0.5,0,0,0,0,0,
RegressionTest0::test107, 0.5,0,0,0,0,0,
RegressionTest0::test108, 0.5,0,0,0,0,0,
RegressionTest0::test109, 0.5,0,0.5,0,0,0,
RegressionTest0::test110, 0.5,0,0,0,0,0,
RegressionTest0::test111, 0.5,0,0,0,0,0,
RegressionTest0::test112, 0.5,0,0,0,0,0,
RegressionTest0::test113, 0.5,0,0,0,0,0,
RegressionTest0::test114, 0.5,0,0,0,0,0,
RegressionTest0::test115, 0.5,0,0,0,0,0,
RegressionTest0::test116, 0.5,0,0,0,0,0,
RegressionTest0::test117, 0.5,0,0,0,0,0,
RegressionTest0::test118, 0.5,0,0,0,0,0,
RegressionTest0::test119, 0.5,0,0,0,0,0,
RegressionTest0::test120, 0.5,0,0,0,0,0,
RegressionTest0::test121, 0.5,0,0,0,0,0,
RegressionTest0::test122, 0.5,0,0,0,0,0,
RegressionTest0::test123, 0.5,0,0,0,0,0,
RegressionTest0::test124, 0.5,0,0,0,0,0,
RegressionTest0::test125, 0.5,0,0,0,0,0,
RegressionTest0::test126, 0.5,0,0,0,0,0,
RegressionTest0::test127, 0.5,0,0,0,0,0,
RegressionTest0::test128, 0.5,0,0,0,0,0,
RegressionTest0::test129, 0,0,0,0,0,0,
RegressionTest0::test130, 0.5,0,0.5,0,0,0,
RegressionTest0::test131, 0.5,0,0.5,0,0,0,
RegressionTest0::test132, 0.5,0,0,0,0,0,
RegressionTest0::test133, 0.5,0,0,0,0,0,
RegressionTest0::test134, 0.5,0,0,0,0,0,
RegressionTest0::test135, 0.5,0,0,0,0,0,
RegressionTest0::test136, 0.5,0,0,0,0,0,
RegressionTest0::test137, 0.5,0,0,0,0,0,
RegressionTest0::test138, 0.5,0,0,0,0,0,
RegressionTest0::test139, 0.5,0,0,0,0,0,
RegressionTest0::test140, 0.5,0,0,0,0,0,
RegressionTest0::test141, 0.5,0,0,0,0,0,
RegressionTest0::test142, 0.5,0,0,0,0,0,
RegressionTest0::test143, 0.5,0,0,0,0,0,
RegressionTest0::test144, 0.5,0,0,0,0,0,
RegressionTest0::test145, 0.5,0,0,0,0,0,
RegressionTest0::test146, 0.5,0,0,0,0,0,
RegressionTest0::test147, 0.5,0,0,0,0,0,
RegressionTest0::test148, 0.5,0,0,0,0,0,
SubLineTest::testEndPoints, 0,0,0,0,0,0,
SubLineTest::testNoEndPoints, 0,0,0,0,0,0,
SubLineTest::testNoSegments, 0,0,0,0,0,0,
SubLineTest::testSeveralSegments, 0,0,0,0,0,0,
SubLineTest::testHalfInfiniteNeg, 0,0,0,0,0,0,
SubLineTest::testHalfInfinitePos, 0,0,0,0,0,0,
SubLineTest::testIntersectionInsideInside, 0,0,0,0,0,0,
SubLineTest::testIntersectionInsideBoundary, 0,0,0,0,0,0,
SubLineTest::testIntersectionInsideOutside, 0,0,0,0,0,0,
SubLineTest::testIntersectionBoundaryBoundary, 0,0,0,0,0,0,
SubLineTest::testIntersectionBoundaryOutside, 0,0,0,0,0,0,
SubLineTest::testIntersectionOutsideOutside, 0,0,0,0,0,0,
Line_ESTest::test00, 0.5,0,0,0,0,0,
Line_ESTest::test01, 0.5,0,0,0,0,0,
Line_ESTest::test02, 0.5,0,0,0,0,0,
Line_ESTest::test03, 0.5,0,0,0,0,0,
Line_ESTest::test04, 0.5,0,0,0,0,0,
Line_ESTest::test05, 0.5,0,0,0,0,0,
Line_ESTest::test06, 0.5,0,0,0,0,0,
Line_ESTest::test07, 0.5,0.5,0.5,0,0,0,
Line_ESTest::test08, 0.5,0.5,0,0,0,0,
Line_ESTest::test09, 0.5,0.5,0.5,0,0,0,
Line_ESTest::test10, 0.5,0.5,0.5,0,0,0,
Line_ESTest::test11, 0.5,0,0,0.5,0,0,
Line_ESTest::test12, 0.5,0,0,0.5,0,0,
Line_ESTest::test13, 0.5,0,0.5,0,0.5,0.5,
Line_ESTest::test14, 0.5,0,0.5,0,0.5,0.5,
LineTest::testAbscissa, 0,0,0,0,0,0,
LineTest::testOffset, 0,0,0,0,0,0,
LineTest::testDistance, 0,0,0,0,0,0,
LineTest::testPointAt, 0,0,0,0,0,0,
LineTest::testOriginOffset, 0,0,0,0,0,0,
LineTest::testParallel, 0,0,0,0,0,0,
LineTest::testTransform, 0,0,0,0,0,0,
