Class::Test,SimplexTableau:140, SimplexTableau:146, SimplexTableau:154, SimplexTableau:158, SimplexTableau:161, SimplexTableau:164, SimplexTableau:167, SimplexTableau:187, SimplexTableau:190, SimplexTableau:191, SimplexTableau:192, SimplexTableau:195, SimplexTableau:198, SimplexTableau:206, SimplexTableau:214, SimplexTableau:223, SimplexTableau:225, SimplexTableau:230, SimplexTableau:231, SimplexTableau:248, SimplexTableau:260, SimplexTableau:274, SimplexTableau:284, SimplexTableau:285, SimplexTableau:299, SimplexTableau:312, SimplexTableau:314, SimplexTableau:316, SimplexTableau:328, SimplexTableau:336, SimplexTableau:338, SimplexTableau:344, SimplexTableau:346, SimplexTableau:352, SimplexTableau:354, SimplexTableau:355, SimplexTableau:361, SimplexTableau:382, SimplexTableau:384, SimplexTableau:398, SimplexTableau:399, SimplexTableau:403, SimplexTableau:405, SimplexTableau:410, SimplexTableau:415, SimplexTableau:418, SimplexTableau:421, SimplexTableau:422, SimplexTableau:439, SimplexTableau:570, SimplexTableau:574, SimplexTableau:576, SimplexTableau:582, SimplexTableau:583, SimplexTableau:584, 
SimplexSolverTest::testSimplexSolver, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testSingleVariableAndConstraint, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,1,0.5,0,0,0,0,0,0,0,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testModelWithNoArtificialVars, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,1,0.5,0,0,0,0,0,0,0,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testMinimization, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testSolutionWithNegativeDecisionVariable, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testInfeasibleSolution, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SimplexSolverTest::testUnboundedSolution, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SimplexSolverTest::testRestrictVariablesToNonNegative, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,1,1,0.5,1,1,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testEpsilon, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testTrivialModel, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,1,1,1,0,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,1,0,0,0,0,0,0,
SimplexSolverTest::testLargeModel, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0,1,1,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0,0,0,
SimplexTableau_ESTest::test00, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test01, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test02, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test03, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test04, 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test05, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test06, 0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test07, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test08, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test09, 0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test10, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test11, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test12, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test13, 0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,0,0,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test14, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,
SimplexTableau_ESTest::test15, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SimplexTableau_ESTest::test16, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,
SimplexTableau_ESTest::test17, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,
SimplexTableau_ESTest::test18, 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,
SimplexTableau_ESTest::test19, 1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test20, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test21, 0.5,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test22, 0.5,0.5,1,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test23, 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test24, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
SimplexTableau_ESTest::test25, 0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,
SimplexTableau_ESTest::test26, 0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,
RegressionTest0::test1, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test2, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test3, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test4, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test5, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test6, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test7, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test8, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test9, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
