Class::Test,KMeansPlusPlusClusterer:99, KMeansPlusPlusClusterer:100, KMeansPlusPlusClusterer:103, KMeansPlusPlusClusterer:105, KMeansPlusPlusClusterer:106, KMeansPlusPlusClusterer:122, KMeansPlusPlusClusterer:128, KMeansPlusPlusClusterer:146, KMeansPlusPlusClusterer:172, KMeansPlusPlusClusterer:176, KMeansPlusPlusClusterer:187, KMeansPlusPlusClusterer:188, KMeansPlusPlusClusterer:210, KMeansPlusPlusClusterer:211, KMeansPlusPlusClusterer:216, KMeansPlusPlusClusterer:222, KMeansPlusPlusClusterer:231, KMeansPlusPlusClusterer:251, KMeansPlusPlusClusterer:257, KMeansPlusPlusClusterer:265, KMeansPlusPlusClusterer:286, KMeansPlusPlusClusterer:291, KMeansPlusPlusClusterer:293, KMeansPlusPlusClusterer:303, KMeansPlusPlusClusterer:323, KMeansPlusPlusClusterer:325, 
RegressionTest0::test26, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test27, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test28, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test29, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test30, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test31, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KMeansPlusPlusClustererTest::dimension2, 0.5,0.5,1,0.5,0,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
KMeansPlusPlusClustererTest::testPerformClusterAnalysisDegenerate, 0.5,1,1,0.5,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,
KMeansPlusPlusClustererTest::testCertainSpace, 0.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,0.5,1,1,1,0.5,1,1,
KMeansPlusPlusClustererTest::testSmallDistances, 0.5,0.5,0,0,0,0,0,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
KMeansPlusPlusClusterer_ESTest::test0, 0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,1,1,
KMeansPlusPlusClusterer_ESTest::test1, 0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,1,1,1,0.5,1,1,
KMeansPlusPlusClusterer_ESTest::test2, 0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,1,1,0.5,0,0,0,0,1,1,
KMeansPlusPlusClusterer_ESTest::test3, 0.5,0.5,0.5,1,0.5,0.5,0,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
KMeansPlusPlusClusterer_ESTest::test4, 0.5,0.5,1,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,
KMeansPlusPlusClusterer_ESTest::test6, 0,0,0,0,0,0,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
