: , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , KMeansPlusPlusClustererTest::dimension2 , KMeansPlusPlusClustererTest::testPerformClusterAnalysisDegenerate , KMeansPlusPlusClustererTest::testCertainSpace , KMeansPlusPlusClustererTest::testSmallDistances , KMeansPlusPlusClusterer_ESTest::test0 , KMeansPlusPlusClusterer_ESTest::test1 , KMeansPlusPlusClusterer_ESTest::test2 , KMeansPlusPlusClusterer_ESTest::test3 , KMeansPlusPlusClusterer_ESTest::test4 , KMeansPlusPlusClusterer_ESTest::test6 , 
RegressionTest0::test11 , 1034 , 5686 , 1983 , 2681 , 3044 , 9431 , 7327 , 3137 , 5239 , 9060 , 0 , 425 , 6104 , 9419 , 1055 , 1639 , 7758 , 10563 , 10373 , 4431 , 13268 , 10361 , 435 , 10938 , 1468 , 4757 , 8056 , 6430 , 559 , 523 , 11163 , 1604 , 1207 , 1301 , 1263 , 1219 , 1168 , 1179 , 1126 , 1179 , 1172 , 
RegressionTest0::test12 , 848 , 5363 , 1746 , 2421 , 2653 , 9058 , 6981 , 2874 , 4964 , 8767 , 425 , 0 , 5779 , 9075 , 1387 , 1421 , 7478 , 10243 , 10088 , 4156 , 12979 , 10088 , 22 , 10565 , 1246 , 4513 , 7796 , 6168 , 479 , 515 , 10844 , 1661 , 1493 , 1439 , 1495 , 1515 , 1429 , 1415 , 1347 , 1435 , 1392 , 
RegressionTest0::test13 , 5111 , 628 , 4777 , 3499 , 3223 , 3493 , 1882 , 3081 , 3807 , 3130 , 6104 , 5779 , 0 , 3524 , 7078 , 4523 , 2178 , 4872 , 4521 , 4022 , 7323 , 4514 , 5779 , 5118 , 4957 , 4322 , 2591 , 961 , 6069 , 6076 , 5216 , 6138 , 6951 , 6434 , 6732 , 7075 , 6864 , 6863 , 6772 , 6841 , 6627 , 
RegressionTest0::test14 , 8441 , 4017 , 7988 , 6828 , 6479 , 75 , 2698 , 6375 , 6140 , 545 , 9419 , 9075 , 3524 , 0 , 10435 , 7854 , 3309 , 4080 , 3637 , 6731 , 4474 , 3675 , 9085 , 3706 , 8316 , 6824 , 2322 , 3600 , 9382 , 9371 , 3607 , 9372 , 10272 , 9647 , 10017 , 10424 , 10198 , 10199 , 10103 , 10170 , 9940 , 
RegressionTest0::test15 , 2059 , 6561 , 2937 , 3679 , 4010 , 10432 , 8335 , 4134 , 6210 , 10080 , 1055 , 1387 , 7078 , 10435 , 0 , 2652 , 8774 , 11554 , 11393 , 5414 , 14294 , 11399 , 1386 , 11936 , 2179 , 5512 , 9089 , 7457 , 1121 , 1148 , 12161 , 1810 , 620 , 1393 , 975 , 422 , 599 , 607 , 712 , 647 , 902 , 
RegressionTest0::test16 , 634 , 4218 , 1630 , 1216 , 1588 , 7857 , 5749 , 1619 , 4078 , 7483 , 1639 , 1421 , 4523 , 7854 , 2652 , 0 , 6178 , 8996 , 8788 , 3649 , 11694 , 8773 , 1421 , 9368 , 859 , 3917 , 6474 , 4841 , 1750 , 1714 , 9582 , 2312 , 2638 , 2344 , 2539 , 2684 , 2543 , 2538 , 2498 , 2528 , 2407 , 
RegressionTest0::test17 , 6769 , 2696 , 6420 , 5169 , 4915 , 3333 , 2521 , 4736 , 4875 , 2917 , 7758 , 7478 , 2178 , 3309 , 8774 , 6178 , 0 , 3090 , 3463 , 5358 , 5978 , 3469 , 7475 , 3358 , 6651 , 5592 , 2653 , 2274 , 7765 , 7750 , 4099 , 7737 , 8632 , 8069 , 8384 , 8770 , 8553 , 8554 , 8459 , 8523 , 8299 , 
RegressionTest0::test18 , 9579 , 5386 , 9067 , 7998 , 7671 , 4072 , 4783 , 7558 , 7188 , 3707 , 10563 , 10243 , 4872 , 4080 , 11554 , 8996 , 3090 , 0 , 3685 , 7780 , 4415 , 3688 , 10245 , 570 , 9435 , 7931 , 4498 , 4925 , 10521 , 10527 , 3234 , 10426 , 11389 , 10779 , 11121 , 11544 , 11312 , 11310 , 11216 , 11282 , 11050 , 
RegressionTest0::test19 , 9378 , 5005 , 8860 , 7766 , 7529 , 3700 , 3324 , 7333 , 6827 , 3293 , 10373 , 10088 , 4521 , 3637 , 11393 , 8788 , 3463 , 3685 , 0 , 7510 , 4280 , 51 , 10089 , 3674 , 9257 , 7649 , 2520 , 4129 , 10359 , 10346 , 2926 , 10282 , 11222 , 10607 , 10963 , 11384 , 11152 , 11148 , 11055 , 11124 , 10882 , 
RegressionTest0::test20 , 3937 , 4040 , 2491 , 3200 , 3188 , 6705 , 4822 , 3073 , 836 , 6417 , 4431 , 4156 , 4022 , 6731 , 5414 , 3649 , 5358 , 7780 , 7510 , 0 , 10205 , 7507 , 4149 , 8104 , 3959 , 619 , 5465 , 4137 , 4571 , 4581 , 8276 , 4897 , 5397 , 4996 , 5191 , 5486 , 5306 , 5306 , 5232 , 5283 , 5152 , 
RegressionTest0::test21 , 12278 , 7852 , 11718 , 10635 , 10399 , 4536 , 6571 , 10219 , 9556 , 4645 , 13268 , 12979 , 7323 , 4474 , 14294 , 11694 , 5978 , 4415 , 4280 , 10205 , 0 , 4315 , 12978 , 4389 , 12163 , 10280 , 5916 , 6898 , 13247 , 13234 , 4512 , 13116 , 14111 , 13450 , 13830 , 14280 , 14043 , 14039 , 13939 , 14012 , 13774 , 
RegressionTest0::test22 , 9367 , 5003 , 8864 , 7794 , 7535 , 3692 , 3358 , 7364 , 6838 , 3323 , 10361 , 10088 , 4514 , 3675 , 11399 , 8773 , 3469 , 3688 , 51 , 7507 , 4315 , 0 , 10090 , 3671 , 9259 , 7651 , 2495 , 4099 , 10363 , 10339 , 2926 , 10284 , 11225 , 10621 , 10967 , 11388 , 11157 , 11151 , 11058 , 11128 , 10885 , 
RegressionTest0::test23 , 861 , 5365 , 1740 , 2420 , 2654 , 9068 , 6987 , 2873 , 4963 , 8776 , 435 , 22 , 5779 , 9085 , 1386 , 1421 , 7475 , 10245 , 10089 , 4149 , 12978 , 10090 , 0 , 10569 , 1245 , 4512 , 7794 , 6159 , 477 , 515 , 10840 , 1664 , 1492 , 1438 , 1492 , 1512 , 1429 , 1415 , 1342 , 1434 , 1388 , 
RegressionTest0::test24 , 9954 , 5615 , 9440 , 8370 , 7969 , 3695 , 4988 , 7928 , 7515 , 3487 , 10938 , 10565 , 5118 , 3706 , 11936 , 9368 , 3358 , 570 , 3674 , 8104 , 4389 , 3671 , 10569 , 0 , 9811 , 8211 , 4771 , 5139 , 10871 , 10883 , 3119 , 10792 , 11761 , 11134 , 11500 , 11923 , 11691 , 11688 , 11595 , 11661 , 11431 , 
RegressionTest0::test25 , 1007 , 4427 , 1901 , 1748 , 2078 , 8304 , 6220 , 2085 , 4390 , 7958 , 1468 , 1246 , 4957 , 8316 , 2179 , 859 , 6651 , 9435 , 9257 , 3959 , 12163 , 9259 , 1245 , 9811 , 0 , 4118 , 6960 , 5331 , 1511 , 1517 , 10033 , 1947 , 2160 , 1983 , 2099 , 2196 , 2074 , 2068 , 2015 , 2068 , 1955 , 
RegressionTest0::test26 , 4166 , 4228 , 2914 , 3534 , 3469 , 6809 , 4989 , 3434 , 1106 , 6581 , 4757 , 4513 , 4322 , 6824 , 5512 , 3917 , 5592 , 7931 , 7649 , 619 , 10280 , 7651 , 4512 , 8211 , 4118 , 0 , 5619 , 4438 , 4395 , 4407 , 8405 , 4986 , 5494 , 5100 , 5285 , 5567 , 5367 , 5375 , 5312 , 5347 , 5200 , 
RegressionTest0::test27 , 7071 , 3101 , 6649 , 5507 , 5254 , 2349 , 1083 , 5074 , 4935 , 2106 , 8056 , 7796 , 2591 , 2322 , 9089 , 6474 , 2653 , 4498 , 2520 , 5465 , 5916 , 2495 , 7794 , 4771 , 6960 , 5619 , 0 , 1788 , 8066 , 8042 , 4146 , 8059 , 8936 , 8367 , 8686 , 9080 , 8856 , 8857 , 8763 , 8830 , 8601 , 
RegressionTest0::test28 , 5432 , 1515 , 5086 , 3827 , 3639 , 3601 , 1068 , 3448 , 3870 , 3200 , 6430 , 6168 , 961 , 3600 , 7457 , 4841 , 2274 , 4925 , 4129 , 4137 , 6898 , 4099 , 6159 , 5139 , 5331 , 4438 , 1788 , 0 , 6451 , 6428 , 5154 , 6501 , 7332 , 6792 , 7093 , 7451 , 7233 , 7234 , 7149 , 7211 , 6994 , 
RegressionTest0::test29 , 1213 , 5637 , 2179 , 2756 , 2984 , 9371 , 7286 , 3183 , 5257 , 9054 , 559 , 479 , 6069 , 9382 , 1121 , 1750 , 7765 , 10521 , 10359 , 4571 , 13247 , 10363 , 477 , 10871 , 1511 , 4395 , 8066 , 6451 , 0 , 40 , 11121 , 1631 , 1267 , 1364 , 1284 , 1255 , 1160 , 1154 , 1147 , 1154 , 1174 , 
RegressionTest0::test30 , 1177 , 5631 , 2190 , 2744 , 3001 , 9381 , 7275 , 3171 , 5269 , 9037 , 523 , 515 , 6076 , 9371 , 1148 , 1714 , 7750 , 10527 , 10346 , 4581 , 13234 , 10339 , 515 , 10883 , 1517 , 4407 , 8042 , 6428 , 40 , 0 , 11125 , 1641 , 1292 , 1385 , 1306 , 1281 , 1187 , 1182 , 1172 , 1181 , 1187 , 
RegressionTest0::test31 , 10176 , 5736 , 9640 , 8589 , 8265 , 3573 , 4787 , 8122 , 7650 , 3424 , 11163 , 10844 , 5216 , 3607 , 12161 , 9582 , 4099 , 3234 , 2926 , 8276 , 4512 , 2926 , 10840 , 3119 , 10033 , 8405 , 4146 , 5154 , 11121 , 11125 , 0 , 11018 , 11987 , 11370 , 11716 , 12146 , 11910 , 11911 , 11812 , 11878 , 11642 , 
KMeansPlusPlusClustererTest::dimension2 , 1938 , 5618 , 2714 , 3071 , 3362 , 9366 , 7350 , 3462 , 5562 , 9021 , 1604 , 1661 , 6138 , 9372 , 1810 , 2312 , 7737 , 10426 , 10282 , 4897 , 13116 , 10284 , 1664 , 10792 , 1947 , 4986 , 8059 , 6501 , 1631 , 1641 , 11018 , 0 , 1508 , 1506 , 1525 , 1664 , 1575 , 1573 , 1559 , 1571 , 1464 , 
KMeansPlusPlusClustererTest::testPerformClusterAnalysisDegenerate , 2078 , 6436 , 2992 , 3614 , 3935 , 10268 , 8192 , 4052 , 6165 , 9930 , 1207 , 1493 , 6951 , 10272 , 620 , 2638 , 8632 , 11389 , 11222 , 5397 , 14111 , 11225 , 1492 , 11761 , 2160 , 5494 , 8936 , 7332 , 1267 , 1292 , 11987 , 1508 , 0 , 1242 , 917 , 516 , 607 , 617 , 720 , 641 , 848 , 
KMeansPlusPlusClustererTest::testCertainSpace , 1873 , 5969 , 2722 , 3238 , 3533 , 9657 , 7612 , 3657 , 5735 , 9321 , 1301 , 1439 , 6434 , 9647 , 1393 , 2344 , 8069 , 10779 , 10607 , 4996 , 13450 , 10621 , 1438 , 11134 , 1983 , 5100 , 8367 , 6792 , 1364 , 1385 , 11370 , 1506 , 1242 , 0 , 1309 , 1337 , 1289 , 1286 , 1308 , 1291 , 1298 , 
KMeansPlusPlusClustererTest::testSmallDistances , 2026 , 6223 , 2879 , 3481 , 3800 , 10014 , 7948 , 3906 , 5965 , 9669 , 1263 , 1495 , 6732 , 10017 , 975 , 2539 , 8384 , 11121 , 10963 , 5191 , 13830 , 10967 , 1492 , 11500 , 2099 , 5285 , 8686 , 7093 , 1284 , 1306 , 11716 , 1525 , 917 , 1309 , 0 , 900 , 856 , 855 , 871 , 853 , 927 , 
KMeansPlusPlusClusterer_ESTest::test0 , 2114 , 6548 , 3042 , 3702 , 4034 , 10419 , 8325 , 4145 , 6248 , 10070 , 1219 , 1515 , 7075 , 10424 , 422 , 2684 , 8770 , 11544 , 11384 , 5486 , 14280 , 11388 , 1512 , 11923 , 2196 , 5567 , 9080 , 7451 , 1255 , 1281 , 12146 , 1664 , 516 , 1337 , 900 , 0 , 276 , 285 , 414 , 404 , 652 , 
KMeansPlusPlusClusterer_ESTest::test1 , 2005 , 6350 , 2916 , 3543 , 3871 , 10193 , 8106 , 3979 , 6083 , 9843 , 1168 , 1429 , 6864 , 10198 , 599 , 2543 , 8553 , 11312 , 11152 , 5306 , 14043 , 11157 , 1429 , 11691 , 2074 , 5367 , 8856 , 7233 , 1160 , 1187 , 11910 , 1575 , 607 , 1289 , 856 , 276 , 0 , 98 , 226 , 137 , 460 , 
KMeansPlusPlusClusterer_ESTest::test2 , 2015 , 6347 , 2913 , 3543 , 3866 , 10194 , 8109 , 3974 , 6079 , 9842 , 1179 , 1415 , 6863 , 10199 , 607 , 2538 , 8554 , 11310 , 11148 , 5306 , 14039 , 11151 , 1415 , 11688 , 2068 , 5375 , 8857 , 7234 , 1154 , 1182 , 11911 , 1573 , 617 , 1286 , 855 , 285 , 98 , 0 , 317 , 204 , 495 , 
KMeansPlusPlusClusterer_ESTest::test3 , 1974 , 6255 , 2849 , 3469 , 3784 , 10098 , 8014 , 3898 , 6004 , 9750 , 1126 , 1347 , 6772 , 10103 , 712 , 2498 , 8459 , 11216 , 11055 , 5232 , 13939 , 11058 , 1342 , 11595 , 2015 , 5312 , 8763 , 7149 , 1147 , 1172 , 11812 , 1559 , 720 , 1308 , 871 , 414 , 226 , 317 , 0 , 343 , 406 , 
KMeansPlusPlusClusterer_ESTest::test4 , 1987 , 6323 , 2903 , 3520 , 3846 , 10166 , 8085 , 3959 , 6058 , 9815 , 1179 , 1435 , 6841 , 10170 , 647 , 2528 , 8523 , 11282 , 11124 , 5283 , 14012 , 11128 , 1434 , 11661 , 2068 , 5347 , 8830 , 7211 , 1154 , 1181 , 11878 , 1571 , 641 , 1291 , 853 , 404 , 137 , 204 , 343 , 0 , 454 , 
KMeansPlusPlusClusterer_ESTest::test6 , 1911 , 6111 , 2818 , 3357 , 3671 , 9933 , 7867 , 3786 , 5898 , 9587 , 1172 , 1392 , 6627 , 9940 , 902 , 2407 , 8299 , 11050 , 10882 , 5152 , 13774 , 10885 , 1388 , 11431 , 1955 , 5200 , 8601 , 6994 , 1174 , 1187 , 11642 , 1464 , 848 , 1298 , 927 , 652 , 460 , 495 , 406 , 454 , 0 , 
