: , RegressionTest0::test1 , RegressionTest0::test2 , RegressionTest0::test3 , RegressionTest0::test4 , RegressionTest0::test5 , RegressionTest0::test6 , RegressionTest0::test7 , RegressionTest0::test8 , RegressionTest0::test9 , SimplexTableauTest::testInitialization , SimplexTableauTest::testDropPhase1Objective , SimplexTableauTest::testTableauWithNoArtificialVars , SimplexTableauTest::testSerial , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexTableau_ESTest::test00 , SimplexTableau_ESTest::test01 , SimplexTableau_ESTest::test02 , SimplexTableau_ESTest::test03 , SimplexTableau_ESTest::test04 , SimplexTableau_ESTest::test05 , SimplexTableau_ESTest::test06 , SimplexTableau_ESTest::test07 , SimplexTableau_ESTest::test08 , SimplexTableau_ESTest::test09 , SimplexTableau_ESTest::test10 , SimplexTableau_ESTest::test11 , SimplexTableau_ESTest::test12 , SimplexTableau_ESTest::test13 , SimplexTableau_ESTest::test14 , SimplexTableau_ESTest::test15 , SimplexTableau_ESTest::test16 , SimplexTableau_ESTest::test17 , SimplexTableau_ESTest::test18 , SimplexTableau_ESTest::test19 , SimplexTableau_ESTest::test20 , SimplexTableau_ESTest::test21 , SimplexTableau_ESTest::test22 , SimplexTableau_ESTest::test23 , SimplexTableau_ESTest::test24 , SimplexTableau_ESTest::test25 , SimplexTableau_ESTest::test26 , 
SimplexTableauTest::testDropPhase1Objective , 2500 , 3731 , 1819 , 1569 , 1612 , 8869 , 4170 , 1563 , 5760 , 1355 , 0 , 1786 , 1869 , 1408 , 1435 , 1285 , 1449 , 1420 , 4484 , 1161 , 2899 , 1320 , 1388 , 1446 , 1605 , 6489 , 1251 , 1562 , 1266 , 1236 , 1365 , 1561 , 1604 , 2457 , 1269 , 1539 , 25192 , 1765 , 1658 , 1674 , 1609 , 1776 , 1607 , 1687 , 1628 , 1797 , 1647 , 1766 , 1733 , 1729 , 1610 , 1731 , 1774 , 1666 , 1749 , 1745 , 1662 , 1574 , 1566 , 1556 , 1620 , 1657 , 1607 , 1642 , 
SimplexTableauTest::testTableauWithNoArtificialVars , 2409 , 3342 , 3116 , 2337 , 2802 , 8182 , 3749 , 2740 , 5189 , 1419 , 1786 , 0 , 3215 , 2006 , 2536 , 2275 , 2608 , 2481 , 3730 , 2108 , 2393 , 2130 , 1797 , 2547 , 2845 , 5522 , 2061 , 2705 , 1973 , 2127 , 2300 , 2744 , 2803 , 2039 , 2088 , 2755 , 24217 , 3053 , 2890 , 2877 , 2818 , 3072 , 2845 , 2928 , 2850 , 3093 , 2904 , 3043 , 3002 , 2999 , 2825 , 3000 , 3052 , 2921 , 3027 , 3031 , 2922 , 2785 , 2770 , 2743 , 2865 , 2913 , 2839 , 2893 , 
SimplexTableauTest::testSerial , 3294 , 4728 , 312 , 1998 , 759 , 10247 , 5245 , 869 , 6963 , 2933 , 1869 , 3215 , 0 , 2100 , 925 , 1404 , 875 , 1078 , 5993 , 1752 , 4236 , 1207 , 2381 , 891 , 495 , 8000 , 1467 , 663 , 1456 , 1464 , 1167 , 606 , 499 , 3604 , 1798 , 608 , 26961 , 274 , 482 , 534 , 588 , 272 , 571 , 440 , 548 , 257 , 468 , 288 , 342 , 343 , 578 , 342 , 269 , 439 , 301 , 293 , 444 , 627 , 665 , 698 , 520 , 452 , 548 , 472 , 
SimplexSolverTest::testMath781 , 2182 , 3438 , 2013 , 1375 , 1689 , 8575 , 3847 , 1615 , 5452 , 1945 , 1408 , 2006 , 2100 , 0 , 1289 , 947 , 1476 , 1260 , 4346 , 747 , 2671 , 1131 , 1105 , 1431 , 1727 , 6247 , 913 , 1567 , 937 , 926 , 1161 , 1641 , 1716 , 1987 , 675 , 1602 , 25008 , 1942 , 1786 , 1801 , 1717 , 1971 , 1729 , 1821 , 1747 , 1979 , 1799 , 1934 , 1890 , 1890 , 1720 , 1891 , 1955 , 1810 , 1919 , 1916 , 1811 , 1682 , 1660 , 1641 , 1738 , 1798 , 1729 , 1782 , 
SimplexSolverTest::testMath713NegativeVariable , 2686 , 4069 , 875 , 1456 , 715 , 9431 , 4536 , 723 , 6214 , 2373 , 1435 , 2536 , 925 , 1289 , 0 , 750 , 548 , 584 , 5231 , 1093 , 3493 , 674 , 1727 , 384 , 590 , 7206 , 845 , 464 , 830 , 835 , 575 , 565 , 599 , 2886 , 1145 , 401 , 26102 , 807 , 693 , 741 , 693 , 827 , 675 , 737 , 699 , 829 , 700 , 794 , 756 , 757 , 679 , 758 , 814 , 708 , 781 , 773 , 703 , 632 , 640 , 616 , 669 , 703 , 664 , 694 , 
SimplexSolverTest::testMath434NegativeVariable , 2436 , 3772 , 1344 , 1367 , 1090 , 9079 , 4241 , 1028 , 5888 , 2130 , 1285 , 2275 , 1404 , 947 , 750 , 0 , 810 , 630 , 4806 , 698 , 3092 , 602 , 1392 , 763 , 1031 , 6808 , 620 , 871 , 604 , 614 , 447 , 956 , 1016 , 2475 , 744 , 909 , 25637 , 1256 , 1126 , 1147 , 1085 , 1276 , 1101 , 1168 , 1095 , 1286 , 1127 , 1243 , 1201 , 1201 , 1081 , 1201 , 1262 , 1141 , 1227 , 1233 , 1138 , 1048 , 1042 , 1026 , 1087 , 1136 , 1083 , 1123 , 
SimplexSolverTest::testMath434UnfeasibleSolution , 2737 , 4121 , 831 , 1520 , 683 , 9498 , 4609 , 691 , 6283 , 2386 , 1449 , 2608 , 875 , 1476 , 548 , 810 , 0 , 693 , 5274 , 1182 , 3592 , 715 , 1772 , 517 , 504 , 7262 , 948 , 555 , 939 , 937 , 703 , 433 , 517 , 2926 , 1181 , 495 , 26180 , 745 , 662 , 693 , 613 , 738 , 651 , 692 , 646 , 760 , 661 , 736 , 720 , 717 , 627 , 717 , 743 , 654 , 735 , 739 , 655 , 631 , 631 , 644 , 628 , 650 , 640 , 654 , 
SimplexSolverTest::testMath434PivotRowSelection , 2541 , 3926 , 1021 , 1387 , 836 , 9317 , 4418 , 810 , 6095 , 2315 , 1420 , 2481 , 1078 , 1260 , 584 , 630 , 693 , 0 , 5106 , 1001 , 3419 , 636 , 1640 , 572 , 763 , 7088 , 779 , 593 , 761 , 767 , 501 , 651 , 802 , 2748 , 1043 , 674 , 25965 , 941 , 821 , 858 , 767 , 969 , 811 , 857 , 794 , 972 , 843 , 936 , 895 , 897 , 790 , 897 , 950 , 844 , 923 , 927 , 843 , 751 , 761 , 750 , 784 , 833 , 799 , 834 , 
SimplexSolverTest::testMath434PivotRowSelection2 , 4312 , 3911 , 5871 , 4726 , 5461 , 7206 , 3888 , 5366 , 4811 , 3911 , 4484 , 3730 , 5993 , 4346 , 5231 , 4806 , 5274 , 5106 , 0 , 4604 , 2873 , 5009 , 4090 , 5251 , 5602 , 4094 , 4816 , 5452 , 4826 , 4811 , 5015 , 5510 , 5596 , 3483 , 4579 , 5487 , 22258 , 5813 , 5614 , 5616 , 5521 , 5835 , 5544 , 5668 , 5558 , 5857 , 5641 , 5790 , 5742 , 5742 , 5519 , 5743 , 5817 , 5654 , 5772 , 5769 , 5642 , 5505 , 5460 , 5433 , 5581 , 5640 , 5565 , 5621 , 
SimplexSolverTest::testMath272 , 2345 , 3628 , 1683 , 1366 , 1389 , 8856 , 4088 , 1331 , 5714 , 2006 , 1161 , 2108 , 1752 , 747 , 1093 , 698 , 1182 , 1001 , 4604 , 0 , 2774 , 750 , 1040 , 1032 , 1372 , 6492 , 573 , 1199 , 578 , 580 , 821 , 1253 , 1357 , 2111 , 393 , 1254 , 25311 , 1594 , 1449 , 1478 , 1393 , 1621 , 1415 , 1488 , 1407 , 1627 , 1464 , 1585 , 1545 , 1545 , 1389 , 1546 , 1605 , 1472 , 1569 , 1572 , 1467 , 1362 , 1346 , 1333 , 1411 , 1468 , 1399 , 1445 , 
SimplexSolverTest::testMath286 , 2832 , 3128 , 4136 , 3033 , 3724 , 7558 , 3411 , 3635 , 4713 , 2605 , 2899 , 2393 , 4236 , 2671 , 3493 , 3092 , 3592 , 3419 , 2873 , 2774 , 0 , 3209 , 2345 , 3500 , 3858 , 4190 , 2990 , 3685 , 3014 , 3027 , 3254 , 3740 , 3852 , 1690 , 2790 , 3731 , 23370 , 4066 , 3881 , 3885 , 3804 , 4087 , 3817 , 3933 , 3829 , 4103 , 3905 , 4041 , 4003 , 4002 , 3799 , 4004 , 4066 , 3916 , 4023 , 4026 , 3900 , 3763 , 3721 , 3698 , 3845 , 3901 , 3824 , 3887 , 
SimplexSolverTest::testDegeneracy , 2561 , 3912 , 1167 , 1443 , 951 , 9252 , 4397 , 910 , 6051 , 2191 , 1320 , 2130 , 1207 , 1131 , 674 , 602 , 715 , 636 , 5009 , 750 , 3209 , 0 , 1362 , 592 , 818 , 6934 , 395 , 709 , 288 , 449 , 384 , 705 , 769 , 2565 , 778 , 704 , 25840 , 1067 , 938 , 968 , 911 , 1080 , 942 , 976 , 930 , 1095 , 968 , 1053 , 1018 , 1018 , 907 , 1018 , 1074 , 953 , 1036 , 1044 , 952 , 867 , 854 , 845 , 924 , 947 , 898 , 934 , 
SimplexSolverTest::testMath288 , 2307 , 3482 , 2288 , 1654 , 1983 , 8528 , 3897 , 1933 , 5449 , 1686 , 1388 , 1797 , 2381 , 1105 , 1727 , 1392 , 1772 , 1640 , 4090 , 1040 , 2345 , 1362 , 0 , 1717 , 1979 , 6027 , 1285 , 1870 , 1283 , 1278 , 1483 , 1878 , 1980 , 1645 , 1059 , 1866 , 24763 , 2229 , 2062 , 2088 , 1994 , 2243 , 2020 , 2107 , 2021 , 2254 , 2075 , 2208 , 2164 , 2161 , 1998 , 2162 , 2232 , 2090 , 2196 , 2195 , 2090 , 1976 , 1953 , 1934 , 2043 , 2082 , 2021 , 2064 , 
SimplexSolverTest::testMath290GEQ , 2695 , 4087 , 845 , 1478 , 650 , 9467 , 4569 , 661 , 6250 , 2417 , 1446 , 2547 , 891 , 1431 , 384 , 763 , 517 , 572 , 5251 , 1032 , 3500 , 592 , 1717 , 0 , 420 , 7228 , 832 , 368 , 802 , 852 , 560 , 547 , 478 , 2845 , 1115 , 370 , 26142 , 754 , 653 , 702 , 624 , 778 , 660 , 680 , 623 , 779 , 671 , 736 , 712 , 713 , 616 , 713 , 761 , 657 , 729 , 732 , 652 , 608 , 605 , 599 , 614 , 654 , 621 , 655 , 
SimplexSolverTest::testMath290LEQ , 2980 , 4388 , 499 , 1721 , 626 , 9838 , 4890 , 699 , 6583 , 2623 , 1605 , 2845 , 495 , 1727 , 590 , 1031 , 504 , 763 , 5602 , 1372 , 3858 , 818 , 1979 , 420 , 0 , 7588 , 1077 , 426 , 1061 , 1098 , 784 , 293 , 60 , 3204 , 1404 , 255 , 26548 , 397 , 428 , 497 , 470 , 407 , 494 , 409 , 452 , 406 , 426 , 387 , 386 , 384 , 479 , 384 , 396 , 423 , 392 , 382 , 419 , 519 , 558 , 590 , 438 , 428 , 456 , 431 , 
SimplexSolverTest::testMath293 , 5891 , 5533 , 7869 , 6543 , 7410 , 6780 , 5316 , 7316 , 5034 , 5862 , 6489 , 5522 , 8000 , 6247 , 7206 , 6808 , 7262 , 7088 , 4094 , 6492 , 4190 , 6934 , 6027 , 7228 , 7588 , 0 , 6728 , 7428 , 6738 , 6740 , 6984 , 7480 , 7588 , 5172 , 6479 , 7478 , 21262 , 7816 , 7601 , 7588 , 7501 , 7838 , 7527 , 7647 , 7538 , 7861 , 7622 , 7792 , 7745 , 7744 , 7507 , 7745 , 7818 , 7636 , 7772 , 7772 , 7629 , 7469 , 7428 , 7398 , 7556 , 7620 , 7534 , 7599 , 
SimplexSolverTest::testSimplexSolver , 2451 , 3748 , 1407 , 1367 , 1152 , 9060 , 4230 , 1099 , 5873 , 2109 , 1251 , 2061 , 1467 , 913 , 845 , 620 , 948 , 779 , 4816 , 573 , 2990 , 395 , 1285 , 832 , 1077 , 6728 , 0 , 903 , 133 , 188 , 458 , 969 , 1054 , 2349 , 564 , 973 , 25604 , 1313 , 1178 , 1189 , 1124 , 1335 , 1153 , 1213 , 1134 , 1349 , 1199 , 1297 , 1259 , 1258 , 1114 , 1259 , 1318 , 1187 , 1288 , 1287 , 1187 , 1085 , 1085 , 1074 , 1132 , 1186 , 1120 , 1166 , 
SimplexSolverTest::testSingleVariableAndConstraint , 2822 , 4231 , 641 , 1577 , 602 , 9672 , 4728 , 660 , 6422 , 2542 , 1562 , 2705 , 663 , 1567 , 464 , 871 , 555 , 593 , 5452 , 1199 , 3685 , 709 , 1870 , 368 , 426 , 7428 , 903 , 0 , 894 , 909 , 607 , 311 , 428 , 3041 , 1211 , 308 , 26371 , 550 , 464 , 564 , 495 , 555 , 490 , 506 , 478 , 565 , 514 , 533 , 520 , 522 , 487 , 522 , 554 , 470 , 529 , 532 , 470 , 455 , 505 , 512 , 433 , 466 , 473 , 485 , 
SimplexSolverTest::testModelWithNoArtificialVars , 2436 , 3747 , 1395 , 1380 , 1136 , 9057 , 4239 , 1082 , 5879 , 2121 , 1266 , 1973 , 1456 , 937 , 830 , 604 , 939 , 761 , 4826 , 578 , 3014 , 288 , 1283 , 802 , 1061 , 6738 , 133 , 894 , 0 , 231 , 434 , 953 , 1010 , 2362 , 578 , 964 , 25608 , 1294 , 1169 , 1175 , 1122 , 1327 , 1151 , 1201 , 1138 , 1334 , 1172 , 1292 , 1245 , 1244 , 1120 , 1244 , 1311 , 1181 , 1275 , 1281 , 1179 , 1082 , 1075 , 1062 , 1120 , 1176 , 1112 , 1161 , 
SimplexSolverTest::testMinimization , 2431 , 3743 , 1405 , 1386 , 1145 , 9050 , 4234 , 1100 , 5869 , 2110 , 1236 , 2127 , 1464 , 926 , 835 , 614 , 937 , 767 , 4811 , 580 , 3027 , 449 , 1278 , 852 , 1098 , 6740 , 188 , 909 , 231 , 0 , 472 , 981 , 1069 , 2350 , 576 , 979 , 25598 , 1317 , 1177 , 1206 , 1131 , 1342 , 1154 , 1217 , 1148 , 1347 , 1188 , 1308 , 1266 , 1266 , 1131 , 1266 , 1327 , 1197 , 1293 , 1291 , 1189 , 1100 , 1084 , 1066 , 1138 , 1189 , 1124 , 1165 , 
SimplexSolverTest::testSolutionWithNegativeDecisionVariable , 2538 , 3898 , 1123 , 1407 , 909 , 9257 , 4380 , 861 , 6050 , 2241 , 1365 , 2300 , 1167 , 1161 , 575 , 447 , 703 , 501 , 5015 , 821 , 3254 , 384 , 1483 , 560 , 784 , 6984 , 458 , 607 , 434 , 472 , 0 , 669 , 783 , 2605 , 834 , 671 , 25871 , 1025 , 915 , 943 , 875 , 1050 , 903 , 951 , 891 , 1059 , 918 , 1020 , 972 , 971 , 875 , 971 , 1035 , 923 , 1008 , 1007 , 915 , 834 , 832 , 817 , 875 , 919 , 875 , 903 , 
SimplexSolverTest::testInfeasibleSolution , 2896 , 4289 , 602 , 1658 , 620 , 9736 , 4797 , 686 , 6487 , 2554 , 1561 , 2744 , 606 , 1641 , 565 , 956 , 433 , 651 , 5510 , 1253 , 3740 , 705 , 1878 , 547 , 293 , 7480 , 969 , 311 , 953 , 981 , 669 , 0 , 298 , 3103 , 1300 , 352 , 26432 , 507 , 417 , 537 , 514 , 503 , 485 , 479 , 494 , 524 , 472 , 502 , 493 , 490 , 499 , 490 , 509 , 460 , 506 , 496 , 458 , 512 , 523 , 550 , 476 , 462 , 481 , 470 , 
SimplexSolverTest::testUnboundedSolution , 2985 , 4385 , 497 , 1723 , 630 , 9843 , 4891 , 700 , 6580 , 2611 , 1604 , 2803 , 499 , 1716 , 599 , 1016 , 517 , 802 , 5596 , 1357 , 3852 , 769 , 1980 , 478 , 60 , 7588 , 1054 , 428 , 1010 , 1069 , 783 , 298 , 0 , 3206 , 1396 , 260 , 26546 , 393 , 417 , 498 , 483 , 394 , 495 , 416 , 456 , 409 , 437 , 386 , 383 , 381 , 483 , 381 , 394 , 422 , 391 , 382 , 422 , 519 , 572 , 596 , 437 , 430 , 471 , 425 , 
SimplexSolverTest::testRestrictVariablesToNonNegative , 2319 , 3080 , 3507 , 2479 , 3104 , 7807 , 3471 , 3019 , 4868 , 2177 , 2457 , 2039 , 3604 , 1987 , 2886 , 2475 , 2926 , 2748 , 3483 , 2111 , 1690 , 2565 , 1645 , 2845 , 3204 , 5172 , 2349 , 3041 , 2362 , 2350 , 2605 , 3103 , 3206 , 0 , 2063 , 3101 , 23876 , 3435 , 3254 , 3257 , 3169 , 3462 , 3195 , 3304 , 3198 , 3472 , 3276 , 3420 , 3374 , 3373 , 3160 , 3374 , 3440 , 3286 , 3401 , 3398 , 3279 , 3133 , 3097 , 3070 , 3212 , 3274 , 3195 , 3255 , 
SimplexSolverTest::testEpsilon , 2297 , 3588 , 1724 , 1358 , 1424 , 8809 , 4056 , 1371 , 5673 , 2007 , 1269 , 2088 , 1798 , 675 , 1145 , 744 , 1181 , 1043 , 4579 , 393 , 2790 , 778 , 1059 , 1115 , 1404 , 6479 , 564 , 1211 , 578 , 576 , 834 , 1300 , 1396 , 2063 , 0 , 1303 , 25289 , 1649 , 1501 , 1518 , 1441 , 1671 , 1446 , 1538 , 1463 , 1683 , 1508 , 1633 , 1602 , 1602 , 1432 , 1601 , 1656 , 1521 , 1620 , 1624 , 1517 , 1406 , 1391 , 1371 , 1460 , 1517 , 1451 , 1492 , 
SimplexSolverTest::testTrivialModel , 2890 , 4282 , 610 , 1652 , 612 , 9721 , 4787 , 678 , 6471 , 2559 , 1539 , 2755 , 608 , 1602 , 401 , 909 , 495 , 674 , 5487 , 1254 , 3731 , 704 , 1866 , 370 , 255 , 7478 , 973 , 308 , 964 , 979 , 671 , 352 , 260 , 3101 , 1303 , 0 , 26420 , 513 , 467 , 536 , 480 , 519 , 466 , 488 , 453 , 536 , 481 , 495 , 485 , 487 , 452 , 487 , 517 , 435 , 484 , 475 , 428 , 482 , 530 , 552 , 460 , 426 , 445 , 446 , 
