: , SimplexTableauTest::testInitialization , SimplexTableauTest::testDropPhase1Objective , SimplexTableauTest::testTableauWithNoArtificialVars , SimplexTableauTest::testSerial , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexTableau_ESTest::test00 , SimplexTableau_ESTest::test01 , SimplexTableau_ESTest::test02 , SimplexTableau_ESTest::test03 , SimplexTableau_ESTest::test04 , SimplexTableau_ESTest::test05 , SimplexTableau_ESTest::test06 , SimplexTableau_ESTest::test07 , SimplexTableau_ESTest::test08 , SimplexTableau_ESTest::test09 , SimplexTableau_ESTest::test10 , SimplexTableau_ESTest::test11 , SimplexTableau_ESTest::test12 , SimplexTableau_ESTest::test13 , SimplexTableau_ESTest::test14 , SimplexTableau_ESTest::test15 , SimplexTableau_ESTest::test16 , SimplexTableau_ESTest::test17 , SimplexTableau_ESTest::test18 , SimplexTableau_ESTest::test19 , SimplexTableau_ESTest::test20 , SimplexTableau_ESTest::test21 , SimplexTableau_ESTest::test22 , SimplexTableau_ESTest::test23 , SimplexTableau_ESTest::test24 , SimplexTableau_ESTest::test25 , SimplexTableau_ESTest::test26 , RegressionTest0::test1 , RegressionTest0::test2 , RegressionTest0::test3 , RegressionTest0::test4 , RegressionTest0::test5 , RegressionTest0::test6 , RegressionTest0::test7 , RegressionTest0::test8 , RegressionTest0::test9 , 
SimplexSolverTest::testMath272 , 574 , 574 , 314 , 563 , 181 , 353 , 192 , 414 , 287 , 1010 , 0 , 511 , 218 , 299 , 258 , 445 , 1501 , 124 , 343 , 131 , 117 , 219 , 386 , 461 , 518 , 62 , 372 , 8586 , 596 , 607 , 618 , 587 , 596 , 614 , 586 , 575 , 594 , 581 , 581 , 584 , 571 , 576 , 572 , 598 , 598 , 578 , 581 , 596 , 649 , 649 , 664 , 592 , 598 , 634 , 614 , 2928 , 3231 , 631 , 1698 , 845 , 8353 , 4236 , 973 , 5508 , 
SimplexSolverTest::testMath286 , 994 , 996 , 754 , 1026 , 537 , 770 , 640 , 859 , 724 , 856 , 511 , 0 , 667 , 477 , 726 , 919 , 1108 , 593 , 815 , 599 , 592 , 693 , 859 , 932 , 392 , 540 , 847 , 8332 , 1029 , 1008 , 981 , 932 , 1032 , 1003 , 959 , 944 , 1027 , 967 , 1012 , 1013 , 997 , 937 , 998 , 1032 , 985 , 1009 , 1011 , 989 , 988 , 972 , 972 , 970 , 986 , 992 , 989 , 2755 , 3073 , 1042 , 1649 , 1004 , 8105 , 4074 , 1070 , 5314 , 
SimplexSolverTest::testDegeneracy , 435 , 425 , 291 , 425 , 333 , 322 , 281 , 263 , 259 , 1155 , 218 , 667 , 0 , 226 , 270 , 273 , 1673 , 154 , 269 , 161 , 151 , 247 , 205 , 279 , 694 , 215 , 195 , 8689 , 459 , 505 , 553 , 479 , 443 , 505 , 451 , 464 , 439 , 442 , 452 , 455 , 469 , 486 , 469 , 451 , 496 , 471 , 460 , 494 , 561 , 554 , 585 , 492 , 494 , 518 , 499 , 3009 , 3326 , 504 , 1770 , 831 , 8478 , 4342 , 982 , 5624 , 
SimplexSolverTest::testMath288 , 584 , 583 , 368 , 614 , 370 , 481 , 388 , 429 , 416 , 959 , 299 , 477 , 226 , 0 , 423 , 466 , 1479 , 308 , 455 , 313 , 305 , 385 , 408 , 481 , 516 , 300 , 395 , 8516 , 627 , 628 , 630 , 597 , 610 , 631 , 569 , 584 , 605 , 568 , 609 , 609 , 599 , 574 , 600 , 617 , 630 , 616 , 614 , 628 , 645 , 623 , 643 , 629 , 629 , 640 , 636 , 2924 , 3244 , 651 , 1729 , 838 , 8364 , 4255 , 981 , 5533 , 
SimplexSolverTest::testMath290GEQ , 394 , 385 , 388 , 339 , 407 , 177 , 225 , 315 , 243 , 1242 , 258 , 726 , 270 , 423 , 0 , 196 , 1731 , 230 , 119 , 238 , 227 , 170 , 258 , 223 , 751 , 279 , 136 , 8763 , 428 , 495 , 531 , 498 , 416 , 498 , 460 , 481 , 414 , 457 , 403 , 430 , 420 , 506 , 420 , 424 , 471 , 416 , 425 , 474 , 573 , 600 , 629 , 465 , 475 , 537 , 481 , 3052 , 3353 , 467 , 1776 , 839 , 8511 , 4363 , 985 , 5656 , 
SimplexSolverTest::testMath290LEQ , 371 , 325 , 425 , 216 , 550 , 258 , 376 , 226 , 316 , 1393 , 445 , 919 , 273 , 466 , 196 , 0 , 1922 , 371 , 173 , 379 , 368 , 313 , 108 , 33 , 942 , 437 , 102 , 8916 , 329 , 453 , 547 , 489 , 285 , 463 , 419 , 469 , 290 , 420 , 308 , 335 , 350 , 504 , 350 , 318 , 427 , 343 , 348 , 435 , 585 , 602 , 630 , 458 , 435 , 529 , 474 , 3164 , 3465 , 410 , 1888 , 886 , 8677 , 4512 , 1032 , 5814 , 
SimplexSolverTest::testMath293 , 1908 , 1934 , 1667 , 2017 , 1488 , 1764 , 1632 , 1815 , 1710 , 1324 , 1501 , 1108 , 1673 , 1479 , 1731 , 1922 , 0 , 1595 , 1816 , 1602 , 1589 , 1691 , 1863 , 1936 , 1305 , 1522 , 1851 , 7823 , 1980 , 1930 , 1905 , 1853 , 1994 , 1908 , 1896 , 1860 , 1988 , 1887 , 1966 , 1964 , 1950 , 1852 , 1950 , 1988 , 1908 , 1964 , 1966 , 1909 , 1848 , 1828 , 1823 , 1893 , 1908 , 1864 , 1901 , 2679 , 2953 , 1974 , 1922 , 1810 , 7761 , 3908 , 1813 , 5070 , 
SimplexSolverTest::testSimplexSolver , 501 , 497 , 266 , 482 , 233 , 298 , 179 , 341 , 233 , 1069 , 124 , 593 , 154 , 308 , 230 , 371 , 1595 , 0 , 252 , 25 , 34 , 124 , 295 , 365 , 599 , 98 , 294 , 8640 , 521 , 530 , 571 , 517 , 522 , 547 , 514 , 497 , 522 , 515 , 511 , 510 , 499 , 509 , 499 , 521 , 540 , 514 , 507 , 538 , 597 , 592 , 613 , 539 , 540 , 566 , 541 , 2949 , 3252 , 566 , 1721 , 836 , 8403 , 4278 , 978 , 5551 , 
SimplexSolverTest::testSingleVariableAndConstraint , 375 , 349 , 380 , 288 , 447 , 161 , 259 , 291 , 203 , 1282 , 343 , 815 , 269 , 455 , 119 , 173 , 1816 , 252 , 0 , 254 , 255 , 173 , 205 , 166 , 804 , 322 , 97 , 8806 , 363 , 453 , 532 , 480 , 345 , 479 , 432 , 462 , 351 , 434 , 346 , 366 , 368 , 482 , 368 , 360 , 438 , 366 , 372 , 437 , 556 , 580 , 615 , 436 , 439 , 520 , 460 , 3067 , 3365 , 434 , 1795 , 843 , 8544 , 4395 , 983 , 5686 , 
SimplexSolverTest::testModelWithNoArtificialVars , 511 , 506 , 246 , 494 , 239 , 298 , 178 , 339 , 232 , 1067 , 131 , 599 , 161 , 313 , 238 , 379 , 1602 , 25 , 254 , 0 , 41 , 116 , 301 , 373 , 599 , 108 , 302 , 8636 , 527 , 534 , 581 , 514 , 527 , 550 , 515 , 495 , 528 , 513 , 517 , 516 , 505 , 507 , 505 , 528 , 540 , 520 , 512 , 538 , 597 , 593 , 614 , 540 , 540 , 566 , 541 , 2941 , 3245 , 577 , 1718 , 835 , 8390 , 4270 , 977 , 5542 , 
SimplexSolverTest::testMinimization , 496 , 501 , 277 , 488 , 232 , 299 , 176 , 340 , 228 , 1064 , 117 , 592 , 151 , 305 , 227 , 368 , 1589 , 34 , 255 , 41 , 0 , 123 , 299 , 373 , 599 , 101 , 298 , 8639 , 523 , 536 , 573 , 519 , 525 , 548 , 521 , 502 , 524 , 519 , 513 , 512 , 501 , 515 , 501 , 523 , 544 , 516 , 510 , 541 , 602 , 596 , 617 , 542 , 543 , 572 , 546 , 2949 , 3256 , 570 , 1721 , 838 , 8401 , 4274 , 980 , 5549 , 
SimplexSolverTest::testSolutionWithNegativeDecisionVariable , 455 , 451 , 313 , 424 , 329 , 222 , 131 , 272 , 170 , 1155 , 219 , 693 , 247 , 385 , 170 , 313 , 1691 , 124 , 173 , 116 , 123 , 0 , 232 , 306 , 680 , 197 , 233 , 8689 , 476 , 509 , 561 , 504 , 472 , 522 , 464 , 477 , 472 , 469 , 462 , 473 , 462 , 488 , 462 , 476 , 482 , 468 , 469 , 478 , 567 , 581 , 614 , 474 , 481 , 538 , 506 , 2980 , 3279 , 524 , 1734 , 830 , 8433 , 4304 , 965 , 5583 , 
SimplexSolverTest::testInfeasibleSolution , 365 , 329 , 345 , 272 , 486 , 296 , 307 , 153 , 241 , 1321 , 386 , 859 , 205 , 408 , 258 , 108 , 1863 , 295 , 205 , 301 , 299 , 232 , 0 , 92 , 860 , 366 , 175 , 8853 , 350 , 456 , 542 , 465 , 329 , 465 , 395 , 446 , 330 , 393 , 326 , 351 , 360 , 481 , 360 , 344 , 429 , 353 , 360 , 435 , 560 , 557 , 592 , 458 , 435 , 509 , 466 , 3103 , 3407 , 424 , 1849 , 854 , 8605 , 4455 , 1000 , 5752 , 
SimplexSolverTest::testUnboundedSolution , 373 , 323 , 415 , 220 , 561 , 257 , 379 , 228 , 317 , 1393 , 461 , 932 , 279 , 481 , 223 , 33 , 1936 , 365 , 166 , 373 , 373 , 306 , 92 , 0 , 938 , 440 , 101 , 8913 , 323 , 448 , 541 , 491 , 277 , 456 , 417 , 468 , 285 , 415 , 305 , 330 , 347 , 503 , 347 , 312 , 426 , 338 , 344 , 432 , 578 , 596 , 626 , 459 , 432 , 524 , 470 , 3155 , 3456 , 413 , 1881 , 879 , 8666 , 4503 , 1027 , 5807 , 
SimplexSolverTest::testRestrictVariablesToNonNegative , 998 , 1002 , 757 , 1042 , 573 , 792 , 653 , 867 , 734 , 881 , 518 , 392 , 694 , 516 , 751 , 942 , 1305 , 599 , 804 , 599 , 599 , 680 , 860 , 938 , 0 , 534 , 857 , 8301 , 1039 , 1010 , 1018 , 953 , 1059 , 1013 , 973 , 954 , 1056 , 969 , 1040 , 1037 , 1021 , 947 , 1021 , 1050 , 1007 , 1026 , 1031 , 1010 , 1004 , 955 , 964 , 991 , 1006 , 998 , 1010 , 2784 , 3104 , 1077 , 1649 , 1041 , 8108 , 4082 , 1100 , 5318 , 
SimplexSolverTest::testEpsilon , 557 , 558 , 303 , 543 , 185 , 349 , 191 , 396 , 279 , 1006 , 62 , 540 , 215 , 300 , 279 , 437 , 1522 , 98 , 322 , 108 , 101 , 197 , 366 , 440 , 534 , 0 , 360 , 8592 , 578 , 587 , 606 , 571 , 583 , 601 , 571 , 556 , 579 , 567 , 567 , 567 , 554 , 556 , 554 , 580 , 590 , 566 , 565 , 589 , 637 , 637 , 651 , 583 , 593 , 620 , 601 , 2923 , 3227 , 617 , 1696 , 842 , 8355 , 4240 , 970 , 5508 , 
SimplexSolverTest::testTrivialModel , 361 , 328 , 394 , 254 , 483 , 192 , 307 , 263 , 246 , 1325 , 372 , 847 , 195 , 395 , 136 , 102 , 1851 , 294 , 97 , 302 , 298 , 233 , 175 , 101 , 857 , 360 , 0 , 8839 , 344 , 448 , 532 , 474 , 311 , 467 , 427 , 460 , 310 , 430 , 323 , 346 , 359 , 490 , 359 , 330 , 425 , 353 , 354 , 428 , 568 , 589 , 622 , 440 , 429 , 519 , 464 , 3114 , 3416 , 413 , 1833 , 862 , 8605 , 4442 , 1008 , 5738 , 
SimplexSolverTest::testLargeModel , 8806 , 8846 , 8652 , 8991 , 8539 , 8753 , 8655 , 8754 , 8703 , 8117 , 8586 , 8332 , 8689 , 8516 , 8763 , 8916 , 7823 , 8640 , 8806 , 8636 , 8639 , 8689 , 8853 , 8913 , 8301 , 8592 , 8839 , 0 , 8853 , 8774 , 8721 , 8682 , 8886 , 8746 , 8744 , 8699 , 8878 , 8736 , 8853 , 8838 , 8819 , 8673 , 8819 , 8864 , 8750 , 8828 , 8829 , 8745 , 8641 , 8627 , 8614 , 8720 , 8742 , 8674 , 8733 , 7737 , 7701 , 8823 , 8132 , 8478 , 8109 , 7755 , 8395 , 7709 , 
SimplexTableau_ESTest::test00 , 432 , 394 , 537 , 324 , 676 , 432 , 525 , 409 , 476 , 1464 , 596 , 1029 , 459 , 627 , 428 , 329 , 1980 , 521 , 363 , 527 , 523 , 476 , 350 , 323 , 1039 , 578 , 344 , 8853 , 0 , 241 , 442 , 333 , 73 , 245 , 314 , 300 , 75 , 289 , 83 , 105 , 124 , 335 , 122 , 56 , 213 , 98 , 147 , 217 , 377 , 397 , 428 , 262 , 218 , 315 , 207 , 3075 , 3400 , 415 , 1824 , 808 , 8569 , 4444 , 932 , 5741 , 
SimplexTableau_ESTest::test01 , 510 , 477 , 548 , 437 , 682 , 496 , 545 , 482 , 507 , 1419 , 607 , 1008 , 505 , 628 , 495 , 453 , 1930 , 530 , 453 , 534 , 536 , 509 , 456 , 448 , 1010 , 587 , 448 , 8774 , 241 , 0 , 487 , 409 , 230 , 183 , 436 , 394 , 233 , 434 , 214 , 202 , 214 , 421 , 216 , 238 , 341 , 234 , 172 , 343 , 499 , 506 , 538 , 372 , 345 , 440 , 380 , 2981 , 3309 , 475 , 1735 , 816 , 8445 , 4320 , 893 , 5617 , 
SimplexTableau_ESTest::test02 , 545 , 523 , 584 , 529 , 656 , 543 , 571 , 545 , 565 , 1406 , 618 , 981 , 553 , 630 , 531 , 547 , 1905 , 571 , 532 , 581 , 573 , 561 , 542 , 541 , 1018 , 606 , 532 , 8721 , 442 , 487 , 0 , 533 , 443 , 455 , 523 , 500 , 437 , 501 , 425 , 432 , 432 , 490 , 433 , 447 , 423 , 425 , 468 , 423 , 521 , 527 , 559 , 413 , 422 , 466 , 460 , 3009 , 3312 , 513 , 1750 , 772 , 8451 , 4331 , 927 , 5621 , 
SimplexTableau_ESTest::test03 , 561 , 548 , 534 , 547 , 655 , 495 , 536 , 453 , 514 , 1316 , 587 , 932 , 479 , 597 , 498 , 489 , 1853 , 517 , 480 , 514 , 519 , 504 , 465 , 491 , 953 , 571 , 474 , 8682 , 333 , 409 , 533 , 0 , 323 , 370 , 166 , 128 , 308 , 208 , 286 , 265 , 220 , 166 , 218 , 335 , 308 , 321 , 356 , 316 , 399 , 366 , 358 , 331 , 315 , 347 , 325 , 2887 , 3213 , 564 , 1712 , 796 , 8353 , 4265 , 915 , 5548 , 
SimplexTableau_ESTest::test04 , 410 , 368 , 526 , 298 , 681 , 420 , 528 , 386 , 474 , 1472 , 596 , 1032 , 443 , 610 , 416 , 285 , 1994 , 522 , 345 , 527 , 525 , 472 , 329 , 277 , 1059 , 583 , 311 , 8886 , 73 , 230 , 443 , 323 , 0 , 237 , 285 , 286 , 33 , 240 , 62 , 83 , 110 , 323 , 107 , 61 , 224 , 103 , 130 , 232 , 388 , 417 , 453 , 253 , 232 , 333 , 265 , 3095 , 3418 , 395 , 1829 , 809 , 8607 , 4460 , 944 , 5764 , 
SimplexTableau_ESTest::test05 , 527 , 507 , 564 , 461 , 688 , 505 , 558 , 477 , 518 , 1407 , 614 , 1003 , 505 , 631 , 498 , 463 , 1908 , 547 , 479 , 550 , 548 , 522 , 465 , 456 , 1013 , 601 , 467 , 8746 , 245 , 183 , 455 , 370 , 237 , 0 , 401 , 384 , 232 , 415 , 216 , 199 , 212 , 412 , 210 , 241 , 342 , 231 , 206 , 347 , 468 , 469 , 508 , 374 , 349 , 420 , 390 , 2985 , 3309 , 483 , 1705 , 818 , 8422 , 4298 , 915 , 5592 , 
SimplexTableau_ESTest::test06 , 509 , 486 , 531 , 482 , 657 , 452 , 505 , 419 , 472 , 1354 , 586 , 959 , 451 , 569 , 460 , 419 , 1896 , 514 , 432 , 515 , 521 , 464 , 395 , 417 , 973 , 571 , 427 , 8744 , 314 , 436 , 523 , 166 , 285 , 401 , 0 , 275 , 281 , 180 , 311 , 339 , 340 , 312 , 340 , 302 , 318 , 316 , 368 , 328 , 395 , 369 , 353 , 347 , 326 , 346 , 331 , 2959 , 3290 , 513 , 1748 , 825 , 8436 , 4332 , 959 , 5624 , 
SimplexTableau_ESTest::test07 , 541 , 525 , 522 , 512 , 656 , 483 , 513 , 428 , 483 , 1321 , 575 , 944 , 464 , 584 , 481 , 469 , 1860 , 497 , 462 , 495 , 502 , 477 , 446 , 468 , 954 , 556 , 460 , 8699 , 300 , 394 , 500 , 128 , 286 , 384 , 275 , 0 , 279 , 156 , 257 , 228 , 183 , 40 , 181 , 298 , 261 , 295 , 321 , 262 , 356 , 272 , 305 , 281 , 269 , 305 , 262 , 2913 , 3237 , 527 , 1718 , 772 , 8387 , 4274 , 904 , 5567 , 
SimplexTableau_ESTest::test08 , 416 , 365 , 534 , 302 , 677 , 417 , 528 , 388 , 476 , 1468 , 594 , 1027 , 439 , 605 , 414 , 290 , 1988 , 522 , 351 , 528 , 524 , 472 , 330 , 285 , 1056 , 579 , 310 , 8878 , 75 , 233 , 437 , 308 , 33 , 232 , 281 , 279 , 0 , 225 , 47 , 76 , 103 , 304 , 101 , 59 , 212 , 90 , 134 , 220 , 387 , 406 , 446 , 240 , 221 , 321 , 263 , 3086 , 3411 , 397 , 1828 , 809 , 8599 , 4453 , 943 , 5757 , 
SimplexTableau_ESTest::test09 , 500 , 476 , 514 , 479 , 649 , 459 , 519 , 399 , 472 , 1351 , 581 , 967 , 442 , 568 , 457 , 420 , 1887 , 515 , 434 , 513 , 519 , 469 , 393 , 415 , 969 , 567 , 430 , 8736 , 289 , 434 , 501 , 208 , 240 , 415 , 180 , 156 , 225 , 0 , 268 , 298 , 314 , 183 , 312 , 276 , 261 , 304 , 345 , 273 , 341 , 278 , 276 , 299 , 272 , 293 , 267 , 2957 , 3287 , 503 , 1743 , 792 , 8439 , 4316 , 929 , 5605 , 
SimplexTableau_ESTest::test10 , 420 , 370 , 528 , 305 , 664 , 407 , 515 , 390 , 467 , 1455 , 581 , 1012 , 452 , 609 , 403 , 308 , 1966 , 511 , 346 , 517 , 513 , 462 , 326 , 305 , 1040 , 567 , 323 , 8853 , 83 , 214 , 425 , 286 , 62 , 216 , 311 , 257 , 47 , 268 , 0 , 35 , 79 , 292 , 77 , 73 , 178 , 52 , 102 , 190 , 356 , 378 , 417 , 214 , 192 , 291 , 231 , 3059 , 3379 , 401 , 1807 , 795 , 8569 , 4427 , 929 , 5728 , 
SimplexTableau_ESTest::test11 , 440 , 395 , 533 , 326 , 661 , 435 , 525 , 408 , 481 , 1445 , 584 , 1013 , 455 , 609 , 430 , 335 , 1964 , 510 , 366 , 516 , 512 , 473 , 351 , 330 , 1037 , 567 , 346 , 8838 , 105 , 202 , 432 , 265 , 83 , 199 , 339 , 228 , 76 , 298 , 35 , 0 , 50 , 263 , 48 , 95 , 207 , 85 , 105 , 209 , 375 , 399 , 436 , 237 , 213 , 312 , 249 , 3054 , 3368 , 415 , 1794 , 787 , 8547 , 4409 , 922 , 5708 , 
