: , SimplexSolver_ESTest::test0 , SimplexSolver_ESTest::test1 , SimplexSolverTest::testMath828 , SimplexSolverTest::testMath828Cycle , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , RegressionTest0::test32 , RegressionTest0::test33 , RegressionTest0::test34 , 
SimplexSolverTest::testMath272 , 610 , 590 , 1154 , 1927 , 181 , 353 , 192 , 414 , 287 , 1010 , 0 , 511 , 218 , 299 , 258 , 445 , 1501 , 124 , 343 , 131 , 117 , 219 , 386 , 461 , 518 , 62 , 372 , 8586 , 610 , 618 , 842 , 644 , 610 , 684 , 627 , 748 , 664 , 608 , 642 , 615 , 635 , 644 , 656 , 622 , 622 , 614 , 653 , 613 , 621 , 611 , 606 , 629 , 718 , 667 , 663 , 619 , 636 , 640 , 630 , 616 , 648 , 613 , 
SimplexSolverTest::testMath286 , 992 , 1015 , 972 , 1706 , 537 , 770 , 640 , 859 , 724 , 856 , 511 , 0 , 667 , 477 , 726 , 919 , 1108 , 593 , 815 , 599 , 592 , 693 , 859 , 932 , 392 , 540 , 847 , 8332 , 1024 , 1039 , 1011 , 992 , 1025 , 977 , 982 , 993 , 971 , 995 , 1088 , 1049 , 1067 , 1019 , 1112 , 1060 , 985 , 994 , 1108 , 989 , 1047 , 988 , 1012 , 1050 , 977 , 1001 , 983 , 991 , 980 , 969 , 989 , 992 , 1099 , 1045 , 
SimplexSolverTest::testDegeneracy , 516 , 440 , 1187 , 1959 , 333 , 322 , 281 , 263 , 259 , 1155 , 218 , 667 , 0 , 226 , 270 , 273 , 1673 , 154 , 269 , 161 , 151 , 247 , 205 , 279 , 694 , 215 , 195 , 8689 , 492 , 484 , 842 , 572 , 490 , 661 , 544 , 720 , 636 , 512 , 494 , 475 , 481 , 533 , 497 , 472 , 538 , 529 , 493 , 531 , 485 , 544 , 490 , 487 , 719 , 614 , 608 , 521 , 583 , 582 , 538 , 534 , 493 , 490 , 
SimplexSolverTest::testMath288 , 635 , 592 , 991 , 1764 , 370 , 481 , 388 , 429 , 416 , 959 , 299 , 477 , 226 , 0 , 423 , 466 , 1479 , 308 , 455 , 313 , 305 , 385 , 408 , 481 , 516 , 300 , 395 , 8516 , 649 , 651 , 852 , 671 , 651 , 709 , 645 , 762 , 683 , 645 , 678 , 653 , 657 , 659 , 685 , 642 , 641 , 660 , 681 , 650 , 656 , 660 , 649 , 661 , 753 , 679 , 680 , 642 , 667 , 663 , 653 , 654 , 681 , 657 , 
SimplexSolverTest::testMath290GEQ , 484 , 418 , 1338 , 2108 , 407 , 177 , 225 , 315 , 243 , 1242 , 258 , 726 , 270 , 423 , 0 , 196 , 1731 , 230 , 119 , 238 , 227 , 170 , 258 , 223 , 751 , 279 , 136 , 8763 , 428 , 437 , 838 , 560 , 428 , 645 , 514 , 724 , 605 , 477 , 431 , 421 , 423 , 517 , 440 , 424 , 508 , 490 , 436 , 494 , 438 , 512 , 440 , 427 , 707 , 605 , 574 , 471 , 558 , 540 , 501 , 495 , 434 , 433 , 
SimplexSolverTest::testMath290LEQ , 458 , 326 , 1420 , 2190 , 550 , 258 , 376 , 226 , 316 , 1393 , 445 , 919 , 273 , 466 , 196 , 0 , 1922 , 371 , 173 , 379 , 368 , 313 , 108 , 33 , 942 , 437 , 102 , 8916 , 373 , 341 , 895 , 575 , 366 , 683 , 530 , 747 , 653 , 469 , 291 , 312 , 299 , 507 , 283 , 313 , 523 , 482 , 279 , 501 , 335 , 522 , 404 , 311 , 745 , 611 , 616 , 471 , 580 , 580 , 519 , 500 , 284 , 352 , 
SimplexSolverTest::testMath293 , 1926 , 1954 , 1427 , 1669 , 1488 , 1764 , 1632 , 1815 , 1710 , 1324 , 1501 , 1108 , 1673 , 1479 , 1731 , 1922 , 0 , 1595 , 1816 , 1602 , 1589 , 1691 , 1863 , 1936 , 1305 , 1522 , 1851 , 7823 , 1978 , 1997 , 1830 , 1912 , 1981 , 1881 , 1919 , 1854 , 1884 , 1939 , 2069 , 2013 , 2028 , 1926 , 2099 , 2020 , 1922 , 1937 , 2095 , 1928 , 2005 , 1910 , 1961 , 2021 , 1844 , 1893 , 1896 , 1938 , 1899 , 1897 , 1909 , 1930 , 2085 , 1995 , 
SimplexSolverTest::testSimplexSolver , 557 , 514 , 1197 , 1965 , 233 , 298 , 179 , 341 , 233 , 1069 , 124 , 593 , 154 , 308 , 230 , 371 , 1595 , 0 , 252 , 25 , 34 , 124 , 295 , 365 , 599 , 98 , 294 , 8640 , 552 , 552 , 818 , 584 , 552 , 658 , 587 , 727 , 644 , 558 , 569 , 546 , 565 , 584 , 580 , 545 , 583 , 565 , 577 , 567 , 556 , 574 , 551 , 559 , 702 , 630 , 631 , 566 , 599 , 602 , 568 , 567 , 575 , 550 , 
SimplexSolverTest::testSingleVariableAndConstraint , 461 , 378 , 1357 , 2127 , 447 , 161 , 259 , 291 , 203 , 1282 , 343 , 815 , 269 , 455 , 119 , 173 , 1816 , 252 , 0 , 254 , 255 , 173 , 205 , 166 , 804 , 322 , 97 , 8806 , 402 , 399 , 837 , 553 , 400 , 642 , 510 , 720 , 614 , 463 , 385 , 381 , 395 , 506 , 392 , 375 , 507 , 475 , 389 , 481 , 397 , 499 , 416 , 394 , 703 , 596 , 585 , 452 , 552 , 546 , 500 , 487 , 387 , 392 , 
SimplexSolverTest::testModelWithNoArtificialVars , 560 , 517 , 1204 , 1971 , 239 , 298 , 178 , 339 , 232 , 1067 , 131 , 599 , 161 , 313 , 238 , 379 , 1602 , 25 , 254 , 0 , 41 , 116 , 301 , 373 , 599 , 108 , 302 , 8636 , 564 , 564 , 818 , 589 , 564 , 663 , 592 , 732 , 649 , 565 , 583 , 558 , 577 , 589 , 594 , 557 , 588 , 572 , 591 , 573 , 567 , 581 , 562 , 571 , 706 , 634 , 636 , 577 , 604 , 607 , 573 , 574 , 588 , 562 , 
SimplexSolverTest::testMinimization , 559 , 519 , 1192 , 1963 , 232 , 299 , 176 , 340 , 228 , 1064 , 117 , 592 , 151 , 305 , 227 , 368 , 1589 , 34 , 255 , 41 , 0 , 123 , 299 , 373 , 599 , 101 , 298 , 8639 , 554 , 554 , 819 , 587 , 555 , 661 , 590 , 729 , 645 , 561 , 573 , 550 , 567 , 588 , 583 , 547 , 586 , 567 , 580 , 571 , 558 , 577 , 553 , 561 , 703 , 632 , 634 , 569 , 600 , 605 , 572 , 570 , 578 , 553 , 
SimplexSolverTest::testSolutionWithNegativeDecisionVariable , 523 , 470 , 1289 , 2055 , 329 , 222 , 131 , 272 , 170 , 1155 , 219 , 693 , 247 , 385 , 170 , 313 , 1691 , 124 , 173 , 116 , 123 , 0 , 232 , 306 , 680 , 197 , 233 , 8689 , 507 , 504 , 818 , 579 , 507 , 651 , 552 , 717 , 633 , 525 , 519 , 501 , 517 , 552 , 530 , 499 , 549 , 527 , 527 , 534 , 506 , 538 , 507 , 513 , 698 , 617 , 602 , 528 , 588 , 575 , 547 , 532 , 525 , 503 , 
SimplexSolverTest::testInfeasibleSolution , 453 , 359 , 1362 , 2132 , 486 , 296 , 307 , 153 , 241 , 1321 , 386 , 859 , 205 , 408 , 258 , 108 , 1863 , 295 , 205 , 301 , 299 , 232 , 0 , 92 , 860 , 366 , 175 , 8853 , 392 , 374 , 876 , 568 , 387 , 670 , 530 , 735 , 639 , 478 , 347 , 358 , 348 , 510 , 350 , 353 , 523 , 485 , 347 , 504 , 372 , 525 , 417 , 361 , 734 , 606 , 602 , 472 , 578 , 574 , 518 , 498 , 346 , 371 , 
SimplexSolverTest::testUnboundedSolution , 450 , 318 , 1434 , 2203 , 561 , 257 , 379 , 228 , 317 , 1393 , 461 , 932 , 279 , 481 , 223 , 33 , 1936 , 365 , 166 , 373 , 373 , 306 , 92 , 0 , 938 , 440 , 101 , 8913 , 374 , 344 , 891 , 575 , 367 , 681 , 531 , 745 , 650 , 470 , 291 , 310 , 298 , 510 , 288 , 313 , 524 , 479 , 286 , 501 , 335 , 522 , 403 , 311 , 743 , 611 , 611 , 473 , 580 , 578 , 520 , 496 , 290 , 347 , 
SimplexSolverTest::testRestrictVariablesToNonNegative , 1023 , 1039 , 1011 , 1711 , 573 , 792 , 653 , 867 , 734 , 881 , 518 , 392 , 694 , 516 , 751 , 942 , 1305 , 599 , 804 , 599 , 599 , 680 , 860 , 938 , 0 , 534 , 857 , 8301 , 1066 , 1084 , 1034 , 1032 , 1067 , 1025 , 1032 , 1023 , 1021 , 1034 , 1117 , 1083 , 1098 , 1053 , 1131 , 1090 , 1031 , 1037 , 1131 , 1023 , 1079 , 1018 , 1053 , 1091 , 1011 , 1039 , 1027 , 1043 , 1013 , 1019 , 1029 , 1031 , 1126 , 1076 , 
SimplexSolverTest::testEpsilon , 593 , 579 , 1159 , 1933 , 185 , 349 , 191 , 396 , 279 , 1006 , 62 , 540 , 215 , 300 , 279 , 437 , 1522 , 98 , 322 , 108 , 101 , 197 , 366 , 440 , 534 , 0 , 360 , 8592 , 597 , 603 , 828 , 633 , 596 , 680 , 620 , 743 , 664 , 598 , 627 , 603 , 622 , 631 , 641 , 606 , 616 , 601 , 638 , 602 , 609 , 602 , 594 , 617 , 710 , 656 , 660 , 608 , 627 , 641 , 617 , 602 , 633 , 598 , 
SimplexSolverTest::testTrivialModel , 453 , 339 , 1356 , 2127 , 483 , 192 , 307 , 263 , 246 , 1325 , 372 , 847 , 195 , 395 , 136 , 102 , 1851 , 294 , 97 , 302 , 298 , 233 , 175 , 101 , 857 , 360 , 0 , 8839 , 376 , 361 , 854 , 551 , 372 , 654 , 513 , 720 , 625 , 455 , 340 , 338 , 345 , 503 , 337 , 342 , 507 , 464 , 332 , 487 , 362 , 509 , 389 , 351 , 721 , 599 , 593 , 453 , 564 , 558 , 504 , 482 , 335 , 367 , 
SimplexSolverTest::testLargeModel , 8750 , 8849 , 8198 , 8011 , 8539 , 8753 , 8655 , 8754 , 8703 , 8117 , 8586 , 8332 , 8689 , 8516 , 8763 , 8916 , 7823 , 8640 , 8806 , 8636 , 8639 , 8689 , 8853 , 8913 , 8301 , 8592 , 8839 , 0 , 8841 , 8874 , 8467 , 8689 , 8843 , 8616 , 8718 , 8578 , 8640 , 8769 , 8975 , 8892 , 8924 , 8740 , 9015 , 8906 , 8721 , 8753 , 9017 , 8747 , 8880 , 8709 , 8811 , 8911 , 8527 , 8663 , 8663 , 8763 , 8681 , 8687 , 8714 , 8749 , 8998 , 8861 , 
RegressionTest0::test01 , 499 , 391 , 1525 , 2298 , 677 , 430 , 546 , 456 , 499 , 1483 , 610 , 1024 , 492 , 649 , 428 , 373 , 1978 , 552 , 402 , 564 , 554 , 507 , 392 , 374 , 1066 , 597 , 376 , 8841 , 0 , 125 , 673 , 310 , 9 , 372 , 202 , 507 , 343 , 134 , 205 , 97 , 192 , 314 , 235 , 187 , 199 , 182 , 228 , 239 , 115 , 240 , 48 , 127 , 506 , 419 , 310 , 125 , 327 , 256 , 195 , 180 , 224 , 157 , 
RegressionTest0::test02 , 500 , 370 , 1525 , 2298 , 700 , 447 , 554 , 444 , 505 , 1490 , 618 , 1039 , 484 , 651 , 437 , 341 , 1997 , 552 , 399 , 564 , 554 , 504 , 374 , 344 , 1084 , 603 , 361 , 8874 , 125 , 0 , 703 , 360 , 124 , 460 , 269 , 500 , 414 , 237 , 152 , 78 , 84 , 286 , 194 , 135 , 272 , 192 , 185 , 242 , 74 , 301 , 158 , 58 , 509 , 398 , 394 , 224 , 312 , 341 , 276 , 278 , 176 , 106 , 
RegressionTest0::test03 , 731 , 756 , 1431 , 2190 , 855 , 833 , 818 , 853 , 821 , 1373 , 842 , 1011 , 842 , 852 , 838 , 895 , 1830 , 818 , 837 , 818 , 819 , 818 , 876 , 891 , 1034 , 828 , 854 , 8467 , 673 , 703 , 0 , 407 , 676 , 449 , 569 , 413 , 547 , 600 , 822 , 706 , 776 , 515 , 854 , 735 , 575 , 642 , 849 , 622 , 725 , 545 , 646 , 749 , 507 , 442 , 613 , 624 , 571 , 606 , 591 , 615 , 840 , 732 , 
RegressionTest0::test04 , 536 , 545 , 1487 , 2261 , 708 , 556 , 597 , 569 , 574 , 1434 , 644 , 992 , 572 , 671 , 560 , 575 , 1912 , 584 , 553 , 589 , 587 , 579 , 568 , 575 , 1032 , 633 , 551 , 8689 , 310 , 360 , 407 , 0 , 307 , 134 , 293 , 213 , 361 , 252 , 449 , 338 , 420 , 126 , 482 , 380 , 294 , 348 , 475 , 329 , 360 , 308 , 297 , 375 , 457 , 155 , 359 , 295 , 398 , 338 , 333 , 277 , 469 , 369 , 
RegressionTest0::test05 , 499 , 388 , 1528 , 2303 , 676 , 428 , 544 , 452 , 498 , 1481 , 610 , 1025 , 490 , 651 , 428 , 366 , 1981 , 552 , 400 , 564 , 555 , 507 , 387 , 367 , 1067 , 596 , 372 , 8843 , 9 , 124 , 676 , 307 , 0 , 379 , 209 , 506 , 350 , 141 , 200 , 90 , 185 , 313 , 226 , 182 , 206 , 178 , 221 , 232 , 112 , 247 , 55 , 120 , 499 , 419 , 303 , 132 , 334 , 259 , 190 , 187 , 218 , 152 , 
RegressionTest0::test06 , 628 , 639 , 1474 , 2242 , 724 , 641 , 657 , 664 , 651 , 1411 , 684 , 977 , 661 , 709 , 645 , 683 , 1881 , 658 , 642 , 663 , 661 , 651 , 670 , 681 , 1025 , 680 , 654 , 8616 , 372 , 460 , 449 , 134 , 379 , 0 , 331 , 200 , 336 , 340 , 568 , 452 , 530 , 234 , 603 , 491 , 328 , 387 , 595 , 373 , 465 , 353 , 337 , 495 , 457 , 205 , 342 , 317 , 399 , 339 , 295 , 369 , 589 , 477 , 
RegressionTest0::test07 , 557 , 507 , 1486 , 2259 , 681 , 515 , 575 , 537 , 543 , 1441 , 627 , 982 , 544 , 645 , 514 , 530 , 1919 , 587 , 510 , 592 , 590 , 552 , 530 , 531 , 1032 , 620 , 513 , 8718 , 202 , 269 , 569 , 293 , 209 , 331 , 0 , 460 , 158 , 139 , 396 , 278 , 346 , 362 , 429 , 352 , 9 , 182 , 421 , 276 , 295 , 253 , 193 , 318 , 444 , 425 , 155 , 102 , 308 , 190 , 188 , 182 , 416 , 248 , 
RegressionTest0::test08 , 678 , 712 , 1456 , 2222 , 762 , 711 , 722 , 715 , 720 , 1399 , 748 , 993 , 720 , 762 , 724 , 747 , 1854 , 727 , 720 , 732 , 729 , 717 , 735 , 745 , 1023 , 743 , 720 , 8578 , 507 , 500 , 413 , 213 , 506 , 200 , 460 , 0 , 478 , 428 , 643 , 542 , 570 , 300 , 680 , 546 , 460 , 415 , 675 , 358 , 535 , 451 , 478 , 550 , 448 , 175 , 464 , 453 , 370 , 386 , 410 , 434 , 666 , 543 , 
RegressionTest0::test09 , 629 , 615 , 1466 , 2235 , 694 , 609 , 626 , 631 , 630 , 1416 , 664 , 971 , 636 , 683 , 605 , 653 , 1884 , 644 , 614 , 649 , 645 , 633 , 639 , 650 , 1021 , 664 , 625 , 8640 , 343 , 414 , 547 , 361 , 350 , 336 , 158 , 478 , 0 , 268 , 536 , 417 , 485 , 446 , 567 , 483 , 153 , 266 , 559 , 363 , 436 , 340 , 324 , 457 , 447 , 471 , 133 , 249 , 364 , 230 , 289 , 246 , 554 , 388 , 
RegressionTest0::test10 , 520 , 453 , 1494 , 2266 , 676 , 477 , 548 , 499 , 528 , 1447 , 608 , 995 , 512 , 645 , 477 , 469 , 1939 , 558 , 463 , 565 , 561 , 525 , 478 , 470 , 1034 , 598 , 455 , 8769 , 134 , 237 , 600 , 252 , 141 , 340 , 139 , 428 , 268 , 0 , 328 , 213 , 302 , 304 , 358 , 233 , 132 , 200 , 352 , 155 , 233 , 187 , 129 , 248 , 413 , 375 , 258 , 116 , 245 , 225 , 198 , 57 , 348 , 253 , 
RegressionTest0::test11 , 509 , 362 , 1571 , 2344 , 718 , 450 , 569 , 450 , 513 , 1546 , 642 , 1088 , 494 , 678 , 431 , 291 , 2069 , 569 , 385 , 583 , 573 , 519 , 347 , 291 , 1117 , 627 , 340 , 8975 , 205 , 152 , 822 , 449 , 200 , 568 , 396 , 643 , 536 , 328 , 0 , 132 , 79 , 359 , 62 , 119 , 390 , 332 , 64 , 357 , 125 , 393 , 247 , 108 , 639 , 485 , 493 , 321 , 456 , 448 , 380 , 362 , 50 , 172 , 
RegressionTest0::test12 , 497 , 371 , 1547 , 2322 , 697 , 437 , 554 , 436 , 500 , 1506 , 615 , 1049 , 475 , 653 , 421 , 312 , 2013 , 546 , 381 , 558 , 550 , 501 , 358 , 310 , 1083 , 603 , 338 , 8892 , 97 , 78 , 706 , 338 , 90 , 452 , 278 , 542 , 417 , 213 , 132 , 0 , 103 , 320 , 156 , 134 , 269 , 237 , 149 , 262 , 61 , 281 , 125 , 65 , 537 , 428 , 381 , 208 , 364 , 335 , 266 , 254 , 150 , 98 , 
RegressionTest0::test13 , 495 , 360 , 1544 , 2317 , 709 , 450 , 560 , 434 , 518 , 1511 , 635 , 1067 , 481 , 657 , 423 , 299 , 2028 , 565 , 395 , 577 , 567 , 517 , 348 , 298 , 1098 , 622 , 345 , 8924 , 192 , 84 , 776 , 420 , 185 , 530 , 346 , 570 , 485 , 302 , 79 , 103 , 0 , 310 , 122 , 115 , 339 , 260 , 119 , 303 , 121 , 362 , 212 , 85 , 577 , 427 , 460 , 292 , 381 , 413 , 348 , 341 , 104 , 147 , 
RegressionTest0::test14 , 527 , 488 , 1492 , 2264 , 697 , 517 , 575 , 520 , 545 , 1440 , 644 , 1019 , 533 , 659 , 517 , 507 , 1926 , 584 , 506 , 589 , 588 , 552 , 510 , 510 , 1053 , 631 , 503 , 8740 , 314 , 286 , 515 , 126 , 313 , 234 , 362 , 300 , 446 , 304 , 359 , 320 , 310 , 0 , 397 , 294 , 356 , 284 , 393 , 295 , 305 , 319 , 310 , 301 , 466 , 133 , 431 , 334 , 373 , 399 , 338 , 323 , 383 , 301 , 
RegressionTest0::test15 , 494 , 370 , 1598 , 2374 , 738 , 461 , 578 , 445 , 525 , 1566 , 656 , 1112 , 497 , 685 , 440 , 283 , 2099 , 580 , 392 , 594 , 583 , 530 , 350 , 288 , 1131 , 641 , 337 , 9015 , 235 , 194 , 854 , 482 , 226 , 603 , 429 , 680 , 567 , 358 , 62 , 156 , 122 , 397 , 0 , 147 , 420 , 372 , 21 , 395 , 186 , 426 , 279 , 144 , 674 , 525 , 524 , 354 , 496 , 481 , 413 , 392 , 35 , 206 , 
