:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,SimplexSolverTest::testDegeneracy,SimplexSolverTest::testEpsilon,SimplexSolverTest::testInfeasibleSolution,SimplexSolverTest::testLargeModel,SimplexSolverTest::testMath272,SimplexSolverTest::testMath286,SimplexSolverTest::testMath288,SimplexSolverTest::testMath290GEQ,SimplexSolverTest::testMath290LEQ,SimplexSolverTest::testMath293,SimplexSolverTest::testMath434NegativeVariable,SimplexSolverTest::testMath434PivotRowSelection,SimplexSolverTest::testMath434PivotRowSelection2,SimplexSolverTest::testMath434UnfeasibleSolution,SimplexSolverTest::testMath713NegativeVariable,SimplexSolverTest::testMath781,SimplexSolverTest::testMath828,SimplexSolverTest::testMath828Cycle,SimplexSolverTest::testMinimization,SimplexSolverTest::testModelWithNoArtificialVars,SimplexSolverTest::testRestrictVariablesToNonNegative,SimplexSolverTest::testSimplexSolver,SimplexSolverTest::testSingleVariableAndConstraint,SimplexSolverTest::testSolutionWithNegativeDecisionVariable,SimplexSolverTest::testTrivialModel,SimplexSolverTest::testUnboundedSolution,SimplexSolver_ESTest::test0,SimplexSolver_ESTest::test1,
RegressionTest0::test29 ,7,2,4,8,8,7,8,6,14,7,10,8,9,9,10,10,10,7,9,6,7,4,7,6,6,9,12,8,0,8,4,7,10,8,46,68,24,1252,73,196,118,28,23,365,54,27,351,34,33,71,527,1025,51,52,129,51,18,40,26,22,15,13,
RegressionTest0::test30 ,8,10,10,14,10,8,8,14,13,8,17,14,17,17,17,17,10,12,16,14,14,11,8,14,14,17,5,8,8,0,7,8,17,13,43,64,22,1250,68,192,113,27,22,358,51,24,344,32,30,65,520,1018,47,48,122,47,20,37,24,22,20,20,
RegressionTest0::test31 ,8,4,3,8,4,8,7,8,13,8,10,7,10,10,10,10,10,10,9,8,8,4,8,8,8,10,8,7,4,7,0,8,10,7,43,65,22,1253,69,194,114,26,21,363,51,24,349,32,31,67,525,1023,48,49,125,48,17,37,24,21,14,13,
RegressionTest0::test32 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,43,65,22,1253,70,194,115,26,21,363,51,24,349,33,31,68,525,1023,49,49,125,48,17,37,24,22,14,13,
RegressionTest0::test33 ,10,8,10,5,8,11,17,7,19,10,2,4,2,2,1,2,15,12,1,5,5,6,10,5,5,2,18,17,10,17,10,10,0,5,48,71,26,1257,76,202,121,29,23,371,56,30,357,36,35,74,532,1030,54,55,132,54,19,42,26,23,8,6,
RegressionTest0::test34 ,6,6,8,1,3,7,13,5,15,6,5,1,5,5,5,4,11,8,5,2,2,5,6,2,2,5,14,13,8,13,7,6,5,0,44,66,22,1257,71,198,116,26,21,367,52,25,353,33,31,69,529,1027,49,50,127,49,16,38,24,21,9,7,
SimplexSolverTest::testDegeneracy ,43,45,45,44,42,43,43,45,41,43,47,44,48,48,48,47,42,43,48,44,44,45,43,44,44,48,41,43,46,43,43,43,48,44,0,35,25,1228,32,157,77,26,27,327,26,27,310,19,27,34,489,987,14,11,94,12,33,14,27,25,44,47,
SimplexSolverTest::testEpsilon ,65,68,67,67,64,65,64,67,62,65,70,67,71,71,70,70,64,65,71,67,67,68,65,67,67,71,61,64,68,64,65,65,71,66,35,0,51,1220,18,138,64,47,50,304,26,46,291,43,47,15,471,969,28,26,75,27,53,35,50,51,67,70,
SimplexSolverTest::testInfeasibleSolution ,22,24,24,23,21,22,23,24,23,22,26,23,26,26,26,25,23,22,26,23,23,24,22,23,23,26,21,23,24,22,22,22,26,22,25,51,0,1243,53,178,98,20,15,347,34,9,332,17,20,51,508,1006,33,33,110,33,11,20,16,12,22,25,
SimplexSolverTest::testLargeModel ,1253,1253,1254,1257,1256,1253,1250,1256,1251,1253,1257,1257,1257,1257,1257,1258,1252,1253,1256,1256,1256,1254,1253,1256,1256,1257,1251,1250,1252,1250,1253,1253,1257,1257,1228,1220,1243,0,1213,1159,1192,1243,1243,1070,1227,1244,1068,1237,1240,1219,892,696,1231,1229,1185,1229,1249,1235,1240,1243,1256,1258,
SimplexSolverTest::testMath272 ,70,73,72,72,69,70,68,71,67,70,75,72,76,76,75,75,68,70,76,72,72,73,70,72,72,76,66,68,73,68,69,70,76,71,32,18,53,1213,0,134,65,50,54,302,26,52,287,47,48,22,473,969,32,31,81,32,60,40,51,54,72,75,
SimplexSolverTest::testMath286 ,194,197,197,199,195,194,192,197,188,194,201,199,202,202,201,202,190,193,202,198,198,198,194,198,198,202,188,192,196,192,194,194,202,198,157,138,178,1159,134,0,97,175,180,189,148,176,192,169,170,133,398,893,155,154,82,155,185,166,177,180,198,201,
SimplexSolverTest::testMath288 ,115,118,117,117,113,115,114,116,111,115,120,117,121,121,120,120,113,114,121,117,117,118,115,117,117,121,110,114,118,113,114,115,121,116,77,64,98,1192,65,97,0,97,99,260,78,99,239,89,96,67,430,927,78,77,51,78,104,87,98,98,117,120,
SimplexSolverTest::testMath290GEQ ,26,28,27,27,25,26,26,27,26,26,29,27,29,29,29,28,25,26,29,27,27,28,26,27,27,29,26,26,28,27,26,26,29,26,26,47,20,1243,50,175,97,0,7,343,33,17,330,15,8,49,507,1005,31,30,107,31,15,18,10,9,25,28,
SimplexSolverTest::testMath290LEQ ,21,23,22,22,21,21,22,22,22,21,24,22,24,24,23,23,21,21,23,22,22,23,21,22,22,24,22,22,23,22,21,21,23,21,27,50,15,1243,54,180,99,7,0,349,36,17,335,13,13,54,511,1009,34,34,112,33,15,22,5,3,19,22,
SimplexSolverTest::testMath293 ,363,366,366,368,364,363,358,366,354,363,370,368,371,371,370,371,358,361,371,367,367,367,363,367,367,371,355,358,365,358,363,363,371,367,327,304,347,1070,302,189,260,343,349,0,318,343,163,337,339,300,303,787,321,321,248,322,354,333,346,349,367,370,
SimplexSolverTest::testMath434NegativeVariable ,51,53,53,52,50,51,51,53,49,51,55,52,56,56,56,55,50,51,56,52,52,53,51,52,52,56,48,51,54,51,51,51,56,52,26,26,34,1227,26,148,78,33,36,318,0,33,303,26,32,30,487,985,28,27,92,28,40,22,33,35,52,55,
SimplexSolverTest::testMath434PivotRowSelection ,24,27,26,26,23,24,24,27,23,24,30,26,30,30,30,29,24,24,30,26,26,27,24,26,26,30,22,24,27,24,24,24,30,25,27,46,9,1244,52,176,99,17,17,343,33,0,330,19,19,49,508,1005,31,32,109,31,13,19,19,17,26,29,
SimplexSolverTest::testMath434PivotRowSelection2 ,349,352,352,354,350,349,344,352,340,349,356,354,357,357,356,357,344,347,357,353,353,353,349,353,353,357,341,344,351,344,349,349,357,353,310,291,332,1068,287,192,239,330,335,163,303,330,0,323,325,292,299,783,307,305,235,306,340,318,332,335,353,356,
SimplexSolverTest::testMath434UnfeasibleSolution ,33,34,33,33,32,33,32,33,30,33,36,33,36,36,36,35,31,33,36,33,33,34,33,33,33,36,31,32,34,32,32,33,36,33,19,43,17,1237,47,169,89,15,13,337,26,19,323,0,15,46,500,998,26,25,102,25,24,13,15,15,32,35,
SimplexSolverTest::testMath713NegativeVariable ,31,33,33,32,30,31,30,31,28,31,35,32,35,35,35,34,28,30,35,32,32,33,31,32,32,35,28,30,33,30,31,31,35,31,27,47,20,1240,48,170,96,8,13,339,32,19,325,15,0,45,503,1001,30,29,107,30,19,17,11,13,31,34,
SimplexSolverTest::testMath781 ,68,71,70,70,66,68,66,69,63,68,73,70,74,74,73,73,65,66,74,70,70,71,68,70,70,74,62,66,71,65,67,68,74,69,34,15,51,1219,22,133,67,49,54,300,30,49,292,46,45,0,471,969,30,28,76,29,56,36,53,54,70,73,
SimplexSolverTest::testMath828 ,525,528,528,530,526,525,521,528,519,525,532,530,533,533,532,533,521,524,533,529,529,529,525,529,529,533,519,521,527,520,525,525,532,529,489,471,508,892,473,398,430,507,511,303,487,508,299,500,503,471,0,505,487,486,416,487,516,497,508,511,529,532,
SimplexSolverTest::testMath828Cycle ,1023,1026,1026,1028,1024,1023,1019,1026,1017,1023,1030,1028,1031,1031,1030,1031,1019,1022,1031,1027,1027,1027,1023,1027,1027,1031,1017,1019,1025,1018,1023,1023,1030,1027,987,969,1006,696,969,893,927,1005,1009,787,985,1005,783,998,1001,969,505,0,985,984,914,985,1014,995,1006,1009,1027,1030,
SimplexSolverTest::testMinimization ,49,51,50,50,47,49,48,50,46,49,53,50,54,54,54,53,47,48,54,50,50,51,49,50,50,54,45,48,51,47,48,49,54,49,14,28,33,1231,32,155,78,31,34,321,28,31,307,26,30,30,487,985,0,8,89,7,36,16,31,34,50,53,
SimplexSolverTest::testModelWithNoArtificialVars ,49,52,51,51,48,49,48,51,47,49,54,51,55,55,55,54,48,49,55,51,51,52,49,51,51,55,46,48,52,48,49,49,55,50,11,26,33,1229,31,154,77,30,34,321,27,32,305,25,29,28,486,984,8,0,89,1,36,15,32,32,51,54,
SimplexSolverTest::testRestrictVariablesToNonNegative ,125,129,128,128,124,125,123,127,120,125,131,128,132,132,131,131,122,124,132,128,128,129,125,128,128,132,120,123,129,122,125,125,132,127,94,75,110,1185,81,82,51,107,112,248,92,109,235,102,107,76,416,914,89,89,0,90,115,98,112,111,127,130,
SimplexSolverTest::testSimplexSolver ,48,51,50,50,47,48,47,50,46,48,53,50,54,54,54,53,47,48,54,50,50,51,48,50,50,54,45,47,51,47,48,48,54,49,12,27,33,1229,32,155,78,31,33,322,28,31,306,25,30,29,487,985,7,1,90,0,35,14,31,33,50,53,
SimplexSolverTest::testSingleVariableAndConstraint ,17,18,18,17,16,18,20,18,20,17,19,17,19,19,19,18,19,17,19,17,17,18,17,17,17,19,19,20,18,20,17,17,19,16,33,53,11,1249,60,185,104,15,15,354,40,13,340,24,19,56,516,1014,36,36,115,35,0,24,14,13,15,18,
SimplexSolverTest::testSolutionWithNegativeDecisionVariable ,37,39,39,38,36,37,37,39,36,37,42,38,42,42,42,41,37,38,42,38,38,39,37,38,38,42,35,37,40,37,37,37,42,38,14,35,20,1235,40,166,87,18,22,333,22,19,318,13,17,36,497,995,16,15,98,14,24,0,19,20,38,41,
SimplexSolverTest::testTrivialModel ,24,26,25,25,24,24,24,25,24,24,27,25,27,27,26,26,23,24,26,25,25,26,24,25,25,27,24,24,26,24,24,24,26,24,27,50,16,1240,51,177,98,10,5,346,33,19,332,15,11,53,508,1006,31,32,112,31,14,19,0,6,22,25,
SimplexSolverTest::testUnboundedSolution ,22,22,22,21,20,22,22,22,21,22,24,21,24,24,23,22,21,22,23,21,21,22,22,21,21,24,22,22,22,22,21,22,23,21,25,51,12,1243,54,180,98,9,3,349,35,17,335,15,13,54,511,1009,34,32,111,33,13,20,6,0,19,22,
SimplexSolver_ESTest::test0 ,14,13,15,9,10,14,21,12,22,14,9,8,9,9,8,7,19,15,8,9,9,12,14,9,9,9,20,21,15,20,14,14,8,9,44,67,22,1256,72,198,117,25,19,367,52,26,353,32,31,70,529,1027,50,51,127,50,15,38,22,19,0,3,
SimplexSolver_ESTest::test1 ,13,11,13,7,10,14,20,10,22,13,7,6,7,7,6,5,18,15,6,8,8,9,13,8,8,7,21,20,13,20,13,13,6,7,47,70,25,1258,75,201,120,28,22,370,55,29,356,35,34,73,532,1030,53,54,130,53,18,41,25,22,3,0,
