: , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , RegressionTest0::test32 , RegressionTest0::test33 , RegressionTest0::test34 , SimplexSolverTest::testMath828 , SimplexSolverTest::testMath828Cycle , SimplexSolverTest::testMath781 , SimplexSolverTest::testMath713NegativeVariable , SimplexSolverTest::testMath434NegativeVariable , SimplexSolverTest::testMath434UnfeasibleSolution , SimplexSolverTest::testMath434PivotRowSelection , SimplexSolverTest::testMath434PivotRowSelection2 , SimplexSolverTest::testMath272 , SimplexSolverTest::testMath286 , SimplexSolverTest::testDegeneracy , SimplexSolverTest::testMath288 , SimplexSolverTest::testMath290GEQ , SimplexSolverTest::testMath290LEQ , SimplexSolverTest::testMath293 , SimplexSolverTest::testSimplexSolver , SimplexSolverTest::testSingleVariableAndConstraint , SimplexSolverTest::testModelWithNoArtificialVars , SimplexSolverTest::testMinimization , SimplexSolverTest::testSolutionWithNegativeDecisionVariable , SimplexSolverTest::testInfeasibleSolution , SimplexSolverTest::testUnboundedSolution , SimplexSolverTest::testRestrictVariablesToNonNegative , SimplexSolverTest::testEpsilon , SimplexSolverTest::testTrivialModel , SimplexSolverTest::testLargeModel , SimplexSolver_ESTest::test0 , SimplexSolver_ESTest::test1 , 
RegressionTest0::test11 , 826 , 448 , 834 , 616 , 795 , 1103 , 1352 , 793 , 1808 , 933 , 0 , 400 , 43 , 215 , 53 , 67 , 1334 , 934 , 54 , 563 , 437 , 571 , 863 , 384 , 669 , 297 , 1758 , 1320 , 693 , 1423 , 927 , 934 , 53 , 437 , 9582 , 18034 , 2093 , 916 , 1390 , 828 , 1060 , 5961 , 1738 , 4221 , 1188 , 2352 , 879 , 481 , 8011 , 1452 , 659 , 1441 , 1445 , 1150 , 575 , 481 , 3579 , 1779 , 614 , 27006 , 513 , 280 , 
RegressionTest0::test12 , 473 , 161 , 489 , 269 , 433 , 753 , 1015 , 477 , 1459 , 583 , 400 , 0 , 376 , 329 , 434 , 383 , 996 , 613 , 433 , 245 , 119 , 224 , 511 , 83 , 348 , 298 , 1410 , 976 , 383 , 1078 , 576 , 588 , 433 , 113 , 9247 , 17690 , 1804 , 704 , 1155 , 675 , 871 , 5641 , 1482 , 3913 , 1013 , 2123 , 679 , 408 , 7668 , 1221 , 537 , 1209 , 1221 , 946 , 508 , 401 , 3295 , 1541 , 497 , 26646 , 437 , 418 , 
RegressionTest0::test13 , 800 , 412 , 805 , 592 , 771 , 1077 , 1328 , 756 , 1776 , 902 , 43 , 376 , 0 , 197 , 87 , 48 , 1308 , 896 , 88 , 528 , 409 , 548 , 836 , 350 , 631 , 265 , 1730 , 1292 , 657 , 1395 , 901 , 903 , 88 , 408 , 9550 , 18000 , 2062 , 889 , 1359 , 816 , 1032 , 5927 , 1709 , 4188 , 1163 , 2327 , 852 , 478 , 7978 , 1422 , 637 , 1412 , 1416 , 1124 , 567 , 475 , 3546 , 1748 , 594 , 26973 , 508 , 263 , 
RegressionTest0::test14 , 734 , 354 , 668 , 434 , 703 , 943 , 1245 , 613 , 1682 , 831 , 215 , 329 , 197 , 0 , 253 , 218 , 1227 , 804 , 255 , 451 , 344 , 483 , 766 , 297 , 553 , 111 , 1627 , 1210 , 579 , 1304 , 823 , 832 , 254 , 340 , 9405 , 17853 , 1967 , 838 , 1291 , 784 , 968 , 5796 , 1625 , 4077 , 1110 , 2235 , 808 , 464 , 7836 , 1361 , 621 , 1343 , 1349 , 1063 , 575 , 459 , 3442 , 1672 , 580 , 26820 , 387 , 321 , 
RegressionTest0::test15 , 858 , 493 , 868 , 653 , 831 , 1141 , 1397 , 840 , 1853 , 968 , 53 , 434 , 87 , 253 , 0 , 98 , 1378 , 979 , 5 , 609 , 486 , 604 , 896 , 429 , 713 , 341 , 1798 , 1361 , 739 , 1462 , 963 , 968 , 6 , 484 , 9629 , 18082 , 2135 , 947 , 1421 , 865 , 1091 , 6007 , 1775 , 4268 , 1225 , 2396 , 914 , 521 , 8059 , 1490 , 681 , 1477 , 1490 , 1185 , 613 , 521 , 3625 , 1824 , 636 , 27053 , 525 , 305 , 
RegressionTest0::test16 , 808 , 438 , 811 , 596 , 771 , 1084 , 1337 , 778 , 1783 , 916 , 67 , 383 , 48 , 218 , 98 , 0 , 1320 , 917 , 98 , 548 , 429 , 549 , 843 , 374 , 652 , 281 , 1733 , 1302 , 677 , 1400 , 903 , 916 , 100 , 419 , 9558 , 18008 , 2065 , 892 , 1366 , 827 , 1031 , 5936 , 1717 , 4195 , 1162 , 2332 , 859 , 484 , 7986 , 1428 , 628 , 1417 , 1423 , 1129 , 578 , 479 , 3554 , 1752 , 580 , 26978 , 498 , 259 , 
RegressionTest0::test17 , 572 , 959 , 792 , 876 , 641 , 606 , 50 , 764 , 595 , 508 , 1334 , 996 , 1308 , 1227 , 1378 , 1320 , 0 , 591 , 1376 , 884 , 957 , 833 , 564 , 1008 , 815 , 1163 , 606 , 173 , 853 , 272 , 566 , 514 , 1377 , 974 , 8561 , 16869 , 1421 , 987 , 1014 , 1044 , 1000 , 5014 , 1211 , 3341 , 1019 , 1761 , 1003 , 1193 , 6981 , 998 , 1079 , 995 , 1004 , 995 , 1140 , 1193 , 2759 , 1255 , 1132 , 25782 , 1195 , 1291 , 
RegressionTest0::test18 , 281 , 547 , 584 , 558 , 269 , 360 , 612 , 490 , 1014 , 288 , 934 , 613 , 896 , 804 , 979 , 917 , 591 , 0 , 978 , 460 , 549 , 532 , 244 , 588 , 417 , 739 , 986 , 587 , 479 , 664 , 312 , 282 , 979 , 556 , 8835 , 17194 , 1564 , 720 , 1001 , 763 , 780 , 5266 , 1290 , 3572 , 872 , 1889 , 752 , 847 , 7249 , 1063 , 763 , 1035 , 1049 , 873 , 812 , 827 , 2952 , 1328 , 814 , 26123 , 855 , 923 , 
RegressionTest0::test19 , 856 , 496 , 868 , 653 , 830 , 1140 , 1395 , 839 , 1851 , 967 , 54 , 433 , 88 , 255 , 5 , 98 , 1376 , 978 , 0 , 611 , 487 , 603 , 895 , 431 , 714 , 343 , 1798 , 1360 , 738 , 1461 , 962 , 967 , 5 , 482 , 9627 , 18080 , 2133 , 946 , 1421 , 866 , 1089 , 6005 , 1774 , 4267 , 1224 , 2395 , 912 , 522 , 8057 , 1490 , 681 , 1476 , 1488 , 1185 , 614 , 521 , 3623 , 1823 , 635 , 27051 , 529 , 304 , 
RegressionTest0::test20 , 495 , 219 , 445 , 235 , 462 , 665 , 901 , 329 , 1324 , 511 , 563 , 245 , 528 , 451 , 609 , 548 , 884 , 460 , 611 , 0 , 176 , 139 , 488 , 223 , 151 , 396 , 1272 , 859 , 190 , 933 , 502 , 510 , 610 , 193 , 9078 , 17519 , 1692 , 673 , 1101 , 668 , 812 , 5493 , 1393 , 3774 , 957 , 2028 , 648 , 570 , 7516 , 1173 , 554 , 1159 , 1173 , 909 , 584 , 565 , 3160 , 1442 , 566 , 26463 , 558 , 573 , 
RegressionTest0::test21 , 462 , 118 , 483 , 271 , 429 , 741 , 983 , 419 , 1429 , 576 , 437 , 119 , 409 , 344 , 486 , 429 , 957 , 549 , 487 , 176 , 0 , 209 , 496 , 97 , 282 , 306 , 1367 , 957 , 327 , 1040 , 548 , 578 , 486 , 62 , 9181 , 17626 , 1758 , 698 , 1136 , 675 , 856 , 5589 , 1440 , 3865 , 1004 , 2081 , 668 , 472 , 7619 , 1189 , 532 , 1181 , 1185 , 927 , 512 , 472 , 3242 , 1494 , 517 , 26584 , 476 , 474 , 
RegressionTest0::test22 , 420 , 180 , 386 , 252 , 407 , 608 , 849 , 386 , 1291 , 382 , 571 , 224 , 548 , 483 , 604 , 549 , 833 , 532 , 603 , 139 , 209 , 0 , 382 , 259 , 245 , 429 , 1255 , 779 , 220 , 921 , 442 , 381 , 604 , 228 , 9088 , 17532 , 1718 , 677 , 1089 , 665 , 809 , 5518 , 1418 , 3792 , 944 , 2040 , 631 , 546 , 7530 , 1177 , 538 , 1158 , 1180 , 907 , 558 , 544 , 3186 , 1471 , 545 , 26479 , 552 , 567 , 
RegressionTest0::test23 , 100 , 472 , 472 , 506 , 152 , 338 , 584 , 524 , 1047 , 148 , 863 , 511 , 836 , 766 , 896 , 843 , 564 , 244 , 895 , 488 , 496 , 382 , 0 , 538 , 485 , 704 , 985 , 523 , 501 , 668 , 195 , 152 , 895 , 511 , 8885 , 17269 , 1580 , 668 , 986 , 699 , 793 , 5313 , 1295 , 3618 , 869 , 1903 , 671 , 768 , 7320 , 1034 , 696 , 1019 , 1021 , 839 , 742 , 767 , 3002 , 1325 , 749 , 26203 , 773 , 844 , 
RegressionTest0::test24 , 492 , 112 , 521 , 303 , 440 , 781 , 1031 , 462 , 1474 , 607 , 384 , 83 , 350 , 297 , 429 , 374 , 1008 , 588 , 431 , 223 , 97 , 259 , 538 , 0 , 328 , 257 , 1429 , 983 , 364 , 1094 , 608 , 611 , 430 , 99 , 9236 , 17678 , 1796 , 699 , 1147 , 689 , 857 , 5633 , 1473 , 3900 , 1014 , 2108 , 686 , 435 , 7664 , 1216 , 532 , 1198 , 1208 , 950 , 509 , 435 , 3280 , 1522 , 516 , 26637 , 450 , 419 , 
RegressionTest0::test25 , 487 , 315 , 428 , 280 , 452 , 590 , 834 , 300 , 1257 , 538 , 669 , 348 , 631 , 553 , 713 , 652 , 815 , 417 , 714 , 151 , 282 , 245 , 485 , 328 , 0 , 482 , 1200 , 784 , 193 , 867 , 496 , 539 , 714 , 304 , 9004 , 17422 , 1642 , 638 , 1050 , 662 , 785 , 5422 , 1375 , 3714 , 911 , 1983 , 636 , 633 , 7435 , 1134 , 611 , 1124 , 1145 , 886 , 632 , 632 , 3099 , 1410 , 620 , 26364 , 613 , 674 , 
RegressionTest0::test26 , 670 , 306 , 589 , 407 , 641 , 859 , 1181 , 532 , 1618 , 763 , 297 , 298 , 265 , 111 , 341 , 281 , 1163 , 739 , 343 , 396 , 306 , 429 , 704 , 257 , 482 , 0 , 1568 , 1145 , 520 , 1241 , 757 , 763 , 342 , 305 , 9328 , 17769 , 1901 , 802 , 1243 , 748 , 926 , 5723 , 1574 , 4010 , 1076 , 2188 , 770 , 450 , 7757 , 1318 , 599 , 1298 , 1300 , 1031 , 555 , 437 , 3378 , 1618 , 558 , 26733 , 346 , 389 , 
RegressionTest0::test27 , 1032 , 1374 , 1131 , 1270 , 1054 , 837 , 614 , 1169 , 297 , 943 , 1758 , 1410 , 1730 , 1627 , 1798 , 1733 , 606 , 986 , 1798 , 1272 , 1367 , 1255 , 985 , 1429 , 1200 , 1568 , 0 , 651 , 1206 , 415 , 914 , 936 , 1797 , 1375 , 8315 , 16578 , 1371 , 1303 , 1265 , 1383 , 1257 , 4803 , 1324 , 3156 , 1303 , 1678 , 1359 , 1586 , 6719 , 1252 , 1446 , 1230 , 1248 , 1277 , 1524 , 1580 , 2594 , 1280 , 1493 , 25407 , 1578 , 1699 , 
RegressionTest0::test28 , 574 , 930 , 783 , 855 , 625 , 625 , 145 , 785 , 607 , 456 , 1320 , 976 , 1292 , 1210 , 1361 , 1302 , 173 , 587 , 1360 , 859 , 957 , 779 , 523 , 983 , 784 , 1145 , 651 , 0 , 833 , 284 , 513 , 460 , 1360 , 962 , 8565 , 16880 , 1422 , 974 , 1028 , 1022 , 989 , 5043 , 1212 , 3348 , 1011 , 1777 , 997 , 1181 , 6994 , 1024 , 1070 , 982 , 997 , 988 , 1128 , 1178 , 2766 , 1237 , 1112 , 25799 , 1175 , 1285 , 
RegressionTest0::test29 , 479 , 291 , 359 , 341 , 452 , 620 , 872 , 308 , 1276 , 568 , 693 , 383 , 657 , 579 , 739 , 677 , 853 , 479 , 738 , 190 , 327 , 220 , 501 , 364 , 193 , 520 , 1206 , 833 , 0 , 872 , 420 , 568 , 738 , 340 , 8970 , 17398 , 1664 , 696 , 1055 , 663 , 786 , 5423 , 1371 , 3710 , 936 , 1981 , 639 , 662 , 7418 , 1145 , 621 , 1127 , 1140 , 886 , 658 , 658 , 3100 , 1422 , 643 , 26348 , 655 , 698 , 
RegressionTest0::test30 , 703 , 1024 , 804 , 938 , 723 , 586 , 238 , 843 , 652 , 636 , 1423 , 1078 , 1395 , 1304 , 1462 , 1400 , 272 , 664 , 1461 , 933 , 1040 , 921 , 668 , 1094 , 867 , 1241 , 415 , 284 , 872 , 0 , 581 , 640 , 1460 , 1050 , 8503 , 16798 , 1413 , 1053 , 1073 , 1089 , 1046 , 4985 , 1225 , 3322 , 1055 , 1750 , 1080 , 1273 , 6914 , 1066 , 1164 , 1046 , 1078 , 1058 , 1212 , 1260 , 2712 , 1249 , 1204 , 25715 , 1262 , 1372 , 
RegressionTest0::test31 , 247 , 551 , 408 , 536 , 218 , 389 , 587 , 513 , 1012 , 228 , 927 , 576 , 901 , 823 , 963 , 903 , 566 , 312 , 962 , 502 , 548 , 442 , 195 , 608 , 496 , 757 , 914 , 513 , 420 , 581 , 0 , 231 , 962 , 577 , 8848 , 17211 , 1540 , 744 , 977 , 762 , 801 , 5279 , 1273 , 3577 , 847 , 1883 , 704 , 814 , 7258 , 1041 , 757 , 1012 , 1029 , 841 , 787 , 807 , 2952 , 1311 , 795 , 26142 , 832 , 900 , 
RegressionTest0::test32 , 198 , 548 , 528 , 575 , 245 , 377 , 533 , 583 , 956 , 8 , 934 , 588 , 903 , 832 , 968 , 916 , 514 , 282 , 967 , 510 , 578 , 381 , 152 , 611 , 539 , 763 , 936 , 460 , 568 , 640 , 231 , 0 , 967 , 579 , 8834 , 17211 , 1548 , 710 , 964 , 756 , 789 , 5265 , 1261 , 3560 , 876 , 1879 , 711 , 827 , 7255 , 1015 , 751 , 993 , 996 , 830 , 802 , 825 , 2945 , 1284 , 801 , 26135 , 834 , 911 , 
RegressionTest0::test33 , 856 , 495 , 869 , 652 , 832 , 1141 , 1396 , 840 , 1852 , 968 , 53 , 433 , 88 , 254 , 6 , 100 , 1377 , 979 , 5 , 610 , 486 , 604 , 895 , 430 , 714 , 342 , 1797 , 1360 , 738 , 1460 , 962 , 967 , 0 , 481 , 9628 , 18081 , 2134 , 947 , 1420 , 866 , 1090 , 6006 , 1772 , 4267 , 1224 , 2397 , 909 , 519 , 8058 , 1490 , 682 , 1476 , 1490 , 1186 , 614 , 520 , 3624 , 1823 , 636 , 27052 , 528 , 303 , 
RegressionTest0::test34 , 480 , 123 , 492 , 289 , 423 , 751 , 991 , 437 , 1438 , 584 , 437 , 113 , 408 , 340 , 484 , 419 , 974 , 556 , 482 , 193 , 62 , 228 , 511 , 99 , 304 , 305 , 1375 , 962 , 340 , 1050 , 577 , 579 , 481 , 0 , 9194 , 17634 , 1767 , 692 , 1143 , 675 , 863 , 5592 , 1441 , 3868 , 1001 , 2083 , 675 , 465 , 7621 , 1193 , 532 , 1177 , 1185 , 931 , 510 , 465 , 3241 , 1494 , 504 , 26589 , 479 , 464 , 
SimplexSolverTest::testMath828 , 8914 , 9178 , 8916 , 9076 , 8934 , 8735 , 8548 , 8950 , 8295 , 8836 , 9582 , 9247 , 9550 , 9405 , 9629 , 9558 , 8561 , 8835 , 9627 , 9078 , 9181 , 9088 , 8885 , 9236 , 9004 , 9328 , 8315 , 8565 , 8970 , 8503 , 8848 , 8834 , 9628 , 9194 , 0 , 9785 , 7934 , 8842 , 8427 , 8866 , 8683 , 5643 , 8211 , 6721 , 8605 , 7754 , 8876 , 9222 , 5002 , 8422 , 9046 , 8420 , 8408 , 8622 , 9118 , 9218 , 6900 , 8168 , 9107 , 20033 , 9237 , 9454 , 
SimplexSolverTest::testMath828Cycle , 17303 , 17620 , 17303 , 17508 , 17333 , 17074 , 16848 , 17329 , 16551 , 17211 , 18034 , 17690 , 18000 , 17853 , 18082 , 18008 , 16869 , 17194 , 18080 , 17519 , 17626 , 17532 , 17269 , 17678 , 17422 , 17769 , 16578 , 16880 , 17398 , 16798 , 17211 , 17211 , 18081 , 17634 , 9785 , 0 , 16226 , 17241 , 16773 , 17291 , 17085 , 13415 , 16519 , 14832 , 16974 , 16038 , 17272 , 17664 , 12579 , 16740 , 17491 , 16749 , 16744 , 17001 , 17558 , 17665 , 15124 , 16493 , 17544 , 16076 , 17680 , 17905 , 
SimplexSolverTest::testMath781 , 1590 , 1778 , 1625 , 1717 , 1599 , 1508 , 1415 , 1628 , 1373 , 1549 , 2093 , 1804 , 2062 , 1967 , 2135 , 2065 , 1421 , 1564 , 2133 , 1692 , 1758 , 1718 , 1580 , 1796 , 1642 , 1901 , 1371 , 1422 , 1664 , 1413 , 1540 , 1548 , 2134 , 1767 , 7934 , 16226 , 0 , 1312 , 964 , 1507 , 1280 , 4344 , 769 , 2700 , 1154 , 1123 , 1457 , 1754 , 6299 , 925 , 1592 , 951 , 944 , 1176 , 1675 , 1741 , 2007 , 690 , 1630 , 25075 , 1841 , 1968 , 
SimplexSolverTest::testMath713NegativeVariable , 666 , 699 , 715 , 702 , 657 , 825 , 1009 , 752 , 1360 , 708 , 916 , 704 , 889 , 838 , 947 , 892 , 987 , 720 , 946 , 673 , 698 , 677 , 668 , 699 , 638 , 802 , 1303 , 974 , 696 , 1053 , 744 , 710 , 947 , 692 , 8842 , 17241 , 1312 , 0 , 750 , 564 , 585 , 5243 , 1108 , 3518 , 686 , 1749 , 396 , 601 , 7269 , 861 , 475 , 846 , 850 , 590 , 573 , 609 , 2904 , 1160 , 408 , 26184 , 748 , 798 , 
SimplexSolverTest::testMath434NegativeVariable , 998 , 1135 , 1017 , 1098 , 999 , 968 , 1034 , 1069 , 1296 , 962 , 1390 , 1155 , 1359 , 1291 , 1421 , 1366 , 1014 , 1001 , 1421 , 1101 , 1136 , 1089 , 986 , 1147 , 1050 , 1243 , 1265 , 1028 , 1055 , 1073 , 977 , 964 , 1420 , 1143 , 8427 , 16773 , 964 , 750 , 0 , 831 , 635 , 4823 , 707 , 3117 , 615 , 1399 , 769 , 1043 , 6864 , 631 , 881 , 613 , 625 , 453 , 972 , 1032 , 2491 , 755 , 920 , 25714 , 1183 , 1263 , 
SimplexSolverTest::testMath434UnfeasibleSolution , 692 , 672 , 715 , 684 , 667 , 877 , 1063 , 717 , 1436 , 755 , 828 , 675 , 816 , 784 , 865 , 827 , 1044 , 763 , 866 , 668 , 675 , 665 , 699 , 689 , 662 , 748 , 1383 , 1022 , 663 , 1089 , 762 , 756 , 866 , 675 , 8866 , 17291 , 1507 , 564 , 831 , 0 , 708 , 5287 , 1205 , 3623 , 728 , 1788 , 540 , 509 , 7318 , 965 , 565 , 953 , 950 , 716 , 443 , 525 , 2942 , 1196 , 506 , 26259 , 706 , 755 , 
SimplexSolverTest::testMath434PivotRowSelection , 790 , 867 , 797 , 832 , 787 , 884 , 1018 , 814 , 1312 , 791 , 1060 , 871 , 1032 , 968 , 1091 , 1031 , 1000 , 780 , 1089 , 812 , 856 , 809 , 793 , 857 , 785 , 926 , 1257 , 989 , 786 , 1046 , 801 , 789 , 1090 , 863 , 8683 , 17085 , 1280 , 585 , 635 , 708 , 0 , 5114 , 1011 , 3443 , 647 , 1653 , 581 , 773 , 7140 , 788 , 599 , 769 , 785 , 508 , 664 , 814 , 2765 , 1053 , 687 , 26043 , 881 , 950 , 
