:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,DataUtilTest::shouldReturnNullForIllegalCharsetNames,DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test00,DataUtil_ESTest::test01,DataUtil_ESTest::test02,DataUtil_ESTest::test03,DataUtil_ESTest::test04,DataUtil_ESTest::test05,DataUtil_ESTest::test06,DataUtil_ESTest::test07,DataUtil_ESTest::test08,DataUtil_ESTest::test09,DataUtil_ESTest::test10,DataUtil_ESTest::test11,DataUtil_ESTest::test12,ParseTest::testBaidu,ParseTest::testBaiduVariant,ParseTest::testBinary,ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote,ParseTest::testGoogleSearchIpod,ParseTest::testHtml5Charset,ParseTest::testNewsHomepage,ParseTest::testNytArticle,ParseTest::testSmhBizArticle,ParseTest::testYahooArticle,ParseTest::testYahooJp,RegressionTest0::test001,RegressionTest0::test002,RegressionTest0::test003,RegressionTest0::test004,RegressionTest0::test005,RegressionTest0::test006,RegressionTest0::test007,RegressionTest0::test008,RegressionTest0::test009,RegressionTest0::test010,RegressionTest0::test011,RegressionTest0::test012,RegressionTest0::test013,RegressionTest0::test014,RegressionTest0::test015,RegressionTest0::test016,RegressionTest0::test017,RegressionTest0::test018,RegressionTest0::test019,RegressionTest0::test020,RegressionTest0::test021,RegressionTest0::test022,RegressionTest0::test023,RegressionTest0::test024,RegressionTest0::test025,RegressionTest0::test026,RegressionTest0::test027,RegressionTest0::test028,RegressionTest0::test029,RegressionTest0::test030,RegressionTest0::test031,RegressionTest0::test032,RegressionTest0::test033,RegressionTest0::test034,RegressionTest0::test035,RegressionTest0::test036,RegressionTest0::test037,RegressionTest0::test038,RegressionTest0::test039,RegressionTest0::test040,RegressionTest0::test041,RegressionTest0::test042,RegressionTest0::test043,RegressionTest0::test044,RegressionTest0::test045,RegressionTest0::test046,RegressionTest0::test047,RegressionTest0::test048,RegressionTest0::test049,RegressionTest0::test050,RegressionTest0::test051,RegressionTest0::test052,RegressionTest0::test053,RegressionTest0::test054,RegressionTest0::test055,RegressionTest0::test056,RegressionTest0::test057,RegressionTest0::test058,RegressionTest0::test059,RegressionTest0::test060,RegressionTest0::test061,RegressionTest0::test062,RegressionTest0::test063,RegressionTest0::test064,RegressionTest0::test065,RegressionTest0::test066,RegressionTest0::test067,RegressionTest0::test068,RegressionTest0::test069,RegressionTest0::test070,RegressionTest0::test071,RegressionTest0::test072,RegressionTest0::test073,RegressionTest0::test074,RegressionTest0::test075,RegressionTest0::test076,RegressionTest0::test077,RegressionTest0::test078,RegressionTest0::test079,RegressionTest0::test080,RegressionTest0::test081,RegressionTest0::test082,RegressionTest0::test083,RegressionTest0::test084,RegressionTest0::test085,RegressionTest0::test086,RegressionTest0::test087,RegressionTest0::test088,RegressionTest0::test089,RegressionTest0::test090,RegressionTest0::test091,RegressionTest0::test092,RegressionTest0::test093,RegressionTest0::test094,RegressionTest0::test095,RegressionTest0::test096,RegressionTest0::test097,RegressionTest0::test098,RegressionTest0::test099,RegressionTest0::test100,RegressionTest0::test101,RegressionTest0::test102,RegressionTest0::test103,RegressionTest0::test104,RegressionTest0::test105,RegressionTest0::test106,RegressionTest0::test107,RegressionTest0::test108,RegressionTest0::test109,RegressionTest0::test110,RegressionTest0::test111,RegressionTest0::test112,RegressionTest0::test113,RegressionTest0::test114,RegressionTest0::test115,RegressionTest0::test116,RegressionTest0::test117,RegressionTest0::test118,RegressionTest0::test119,RegressionTest0::test120,RegressionTest0::test121,RegressionTest0::test122,RegressionTest0::test123,RegressionTest0::test124,RegressionTest0::test125,RegressionTest0::test126,RegressionTest0::test127,RegressionTest0::test128,RegressionTest0::test129,RegressionTest0::test130,RegressionTest0::test131,RegressionTest0::test132,RegressionTest0::test133,RegressionTest0::test134,RegressionTest0::test135,RegressionTest0::test136,RegressionTest0::test137,RegressionTest0::test138,RegressionTest0::test139,RegressionTest0::test140,RegressionTest0::test141,RegressionTest0::test142,RegressionTest0::test143,RegressionTest0::test144,RegressionTest0::test145,RegressionTest0::test146,RegressionTest0::test147,RegressionTest0::test148,RegressionTest0::test149,RegressionTest0::test150,RegressionTest0::test151,RegressionTest0::test152,RegressionTest0::test153,RegressionTest0::test154,RegressionTest0::test155,RegressionTest0::test156,RegressionTest0::test157,RegressionTest0::test158,RegressionTest0::test159,RegressionTest0::test160,RegressionTest0::test161,RegressionTest0::test162,RegressionTest0::test163,RegressionTest0::test164,RegressionTest0::test165,RegressionTest0::test166,RegressionTest0::test167,RegressionTest0::test168,RegressionTest0::test169,RegressionTest0::test170,RegressionTest0::test171,RegressionTest0::test172,RegressionTest0::test173,RegressionTest0::test174,RegressionTest0::test175,RegressionTest0::test176,RegressionTest0::test177,RegressionTest0::test178,RegressionTest0::test179,RegressionTest0::test180,RegressionTest0::test181,RegressionTest0::test182,RegressionTest0::test183,RegressionTest0::test184,RegressionTest0::test185,RegressionTest0::test186,RegressionTest0::test187,RegressionTest0::test188,RegressionTest0::test189,RegressionTest0::test190,RegressionTest0::test191,RegressionTest0::test192,RegressionTest0::test193,RegressionTest0::test194,RegressionTest0::test195,RegressionTest0::test196,RegressionTest0::test197,RegressionTest0::test198,RegressionTest0::test199,
DataUtil_ESTest::test03 ,16,11,8,11,11,16,13,12,16,7,0,8,12,20,17,25,27,8,7,8,68,20,14,14,36,65,57,17,28,16,26,21,21,21,21,21,20,20,19,33,21,21,21,21,11,21,21,41,21,11,11,26,26,21,21,21,21,21,35,21,33,20,33,21,20,21,21,52,26,20,88,20,11,24,21,45,21,21,61,11,11,21,21,35,55,21,21,21,21,21,52,83,21,41,21,59,21,21,21,21,11,21,24,21,88,21,21,21,21,55,53,93,21,52,55,86,72,86,21,45,55,79,21,21,21,102,21,82,21,11,88,82,21,11,65,45,61,43,21,11,98,21,21,53,21,33,21,45,55,52,21,51,20,21,20,21,21,21,21,21,11,53,21,21,11,21,21,21,11,21,24,24,24,21,24,24,11,21,21,21,24,21,24,21,21,11,24,21,24,24,11,21,21,21,21,21,24,21,24,24,11,24,24,21,21,21,21,24,21,11,21,21,24,24,11,24,21,21,21,24,24,21,21,21,21,21,21,21,11,24,
DataUtil_ESTest::test04 ,14,16,14,16,16,15,12,6,14,6,8,0,6,16,14,21,24,13,14,13,62,15,12,11,32,59,52,13,23,12,22,17,17,17,17,19,19,19,19,27,17,17,17,19,14,17,17,35,17,14,14,20,20,17,17,17,17,17,29,17,27,19,27,17,19,17,17,46,20,19,82,19,14,23,17,39,19,19,55,14,14,17,17,29,49,17,17,17,17,17,46,77,17,35,19,53,17,17,17,17,14,17,23,17,82,17,17,17,17,49,47,87,17,46,49,80,67,80,17,39,49,73,17,17,17,96,17,76,17,14,82,76,19,14,59,39,55,37,17,14,92,17,17,47,17,27,17,39,49,46,17,45,19,17,19,17,17,17,17,17,14,47,19,17,14,17,17,17,14,17,23,23,23,17,23,23,14,19,17,17,23,17,23,17,17,14,23,17,23,23,14,17,17,17,17,17,23,17,23,23,14,23,23,17,19,17,19,23,19,14,17,17,23,23,14,23,17,17,17,23,23,17,17,17,17,17,17,17,14,23,
DataUtil_ESTest::test05 ,12,12,10,12,12,17,13,3,20,11,12,6,0,15,19,20,23,9,10,9,64,14,6,7,32,60,53,12,24,11,22,16,16,16,16,18,18,18,18,30,16,16,16,18,14,16,16,38,16,14,14,23,23,16,16,16,16,16,32,16,30,18,30,16,18,16,16,48,23,18,85,18,14,22,16,42,18,18,58,14,14,16,16,32,52,16,16,16,16,16,48,79,16,38,18,56,16,16,16,16,14,16,22,16,85,16,16,16,16,52,50,89,16,48,52,83,69,83,16,42,52,76,16,16,16,99,16,78,16,14,85,78,18,14,62,42,58,40,16,14,95,16,16,50,16,30,16,42,52,48,16,48,18,16,18,16,16,16,16,16,14,50,18,16,14,16,16,16,14,16,22,22,22,16,22,22,14,18,16,16,22,16,22,16,16,14,22,16,22,22,14,16,16,16,16,16,22,16,22,22,14,22,22,16,18,16,18,22,18,14,16,16,22,22,14,22,16,16,16,22,22,16,16,16,16,16,16,16,14,22,
DataUtil_ESTest::test06 ,12,25,22,25,25,20,20,16,17,20,20,16,15,0,17,19,21,23,24,23,58,17,15,16,28,55,48,11,18,10,19,22,22,22,22,24,24,24,24,30,22,22,22,24,23,22,22,37,22,23,23,22,22,22,22,22,22,22,31,22,30,24,30,22,24,22,22,44,22,24,79,24,23,23,22,37,24,24,54,23,23,22,22,31,46,22,22,22,22,22,44,73,22,37,24,52,22,22,22,22,23,22,23,22,79,22,22,22,22,46,48,82,22,44,47,77,63,77,22,37,47,71,22,22,22,90,22,70,22,23,79,70,24,23,57,39,54,37,22,23,89,22,22,48,22,30,22,37,46,44,22,46,24,22,24,22,22,22,22,22,23,48,24,22,23,22,22,22,23,22,23,23,23,22,23,23,23,24,22,22,23,22,23,22,22,23,23,22,23,23,23,22,22,22,22,22,23,22,23,23,23,23,23,22,24,22,24,23,24,23,22,22,23,23,23,23,22,22,22,23,23,22,22,22,22,22,22,22,23,23,
DataUtil_ESTest::test07 ,13,24,22,23,24,23,22,18,4,14,17,14,19,17,0,15,17,22,22,22,64,20,19,20,33,62,53,16,24,16,23,23,23,23,23,23,23,23,23,29,23,23,23,23,20,23,23,36,23,20,20,23,23,23,23,23,23,23,31,23,29,23,29,23,23,23,23,47,23,23,82,23,20,25,23,40,23,23,57,20,20,23,23,31,49,23,23,23,23,23,47,76,23,36,23,55,23,23,23,23,20,23,25,23,82,23,23,23,23,49,47,86,23,47,49,80,67,80,23,40,49,73,23,23,23,96,23,75,23,20,82,75,23,20,59,40,57,38,23,20,91,23,23,47,23,29,23,40,49,47,23,45,23,23,23,23,23,23,23,23,20,47,23,23,20,23,23,23,20,23,25,25,25,23,25,25,20,23,23,23,25,23,25,23,23,20,25,23,25,25,20,23,23,23,23,23,25,23,25,25,20,25,25,23,23,23,23,25,23,20,23,23,25,25,20,25,23,23,23,25,25,23,23,23,23,23,23,23,20,25,
DataUtil_ESTest::test08 ,16,28,26,27,28,27,26,19,17,22,25,21,20,19,15,0,11,25,25,25,61,19,19,20,28,59,51,19,22,19,21,27,27,27,27,27,26,26,26,31,27,27,27,27,25,27,27,37,27,25,25,27,27,27,27,27,27,27,32,27,31,26,31,27,26,27,27,47,27,26,82,26,25,28,27,40,27,27,57,25,25,27,27,32,49,27,27,27,27,27,47,76,27,37,27,55,27,27,27,27,25,27,28,27,82,27,27,27,27,49,48,85,27,47,49,80,66,80,27,40,49,74,27,27,27,95,27,75,27,25,82,75,27,25,59,40,57,38,27,25,92,27,27,48,27,31,27,40,49,47,27,46,25,27,26,27,27,27,27,27,25,48,27,27,25,27,27,27,25,27,28,28,28,27,28,28,25,27,27,27,28,27,28,27,27,25,28,27,28,28,25,27,27,27,27,27,28,27,28,28,25,28,28,27,27,27,27,28,27,25,27,27,28,28,25,28,27,27,27,28,28,27,27,27,27,27,27,27,25,28,
DataUtil_ESTest::test09 ,18,30,28,29,30,29,29,22,19,24,27,24,23,21,17,11,0,27,27,27,61,23,23,23,30,60,49,22,25,22,24,26,26,26,26,26,26,26,26,30,26,26,26,26,27,26,26,38,26,27,27,29,29,26,26,26,26,26,32,26,30,26,30,26,26,26,26,49,29,26,84,26,27,28,26,42,26,26,58,27,27,26,26,32,50,26,26,26,26,26,49,77,26,38,26,56,26,26,26,26,27,26,28,26,84,26,26,26,26,50,48,87,26,49,50,82,68,82,26,42,50,75,26,26,26,97,26,76,26,27,84,76,26,27,60,42,58,40,26,27,93,26,26,48,26,30,26,42,50,49,26,46,26,26,26,26,26,26,26,26,27,48,26,26,27,26,26,26,27,26,28,28,28,26,28,28,27,26,26,26,28,26,28,26,26,27,28,26,28,28,27,26,26,26,26,26,28,26,28,28,27,28,28,26,26,26,26,28,26,27,26,26,28,28,27,28,26,26,26,28,28,26,26,26,26,26,26,26,27,28,
DataUtil_ESTest::test10 ,19,5,4,5,5,19,16,11,24,15,8,13,9,23,22,25,27,0,2,0,72,21,12,14,40,69,61,19,32,19,30,21,21,21,21,21,20,20,19,37,21,21,21,21,12,21,21,45,21,12,12,29,29,21,21,21,21,21,39,21,37,20,37,21,20,21,21,56,29,20,93,20,12,26,21,49,21,21,66,12,12,21,21,39,59,21,21,21,21,21,56,87,21,45,21,64,21,21,21,21,12,21,26,21,93,21,21,21,21,59,57,97,21,56,59,91,77,91,21,49,59,84,21,21,21,107,21,86,21,12,93,86,21,12,69,49,66,47,21,12,103,21,21,57,21,37,21,49,59,56,21,55,20,21,20,21,21,21,21,21,12,57,21,21,12,21,21,21,12,21,26,26,26,21,26,26,12,21,21,21,26,21,26,21,21,12,26,21,26,26,12,21,21,21,21,21,26,21,26,26,12,26,26,21,21,21,21,26,21,12,21,21,26,26,12,26,21,21,21,26,26,21,21,21,21,21,21,21,12,26,
DataUtil_ESTest::test11 ,19,6,4,5,6,19,17,12,22,14,7,14,10,24,22,25,27,2,0,2,73,22,13,15,41,69,62,20,33,20,31,22,22,22,22,22,21,21,20,37,22,22,22,22,13,22,22,45,22,13,13,29,29,22,22,22,22,22,39,22,37,21,37,22,21,22,22,56,29,21,93,21,13,27,22,49,22,22,66,13,13,22,22,39,59,22,22,22,22,22,56,87,22,45,22,64,22,22,22,22,13,22,27,22,93,22,22,22,22,59,57,97,22,56,59,91,77,91,22,49,59,84,22,22,22,107,22,86,22,13,93,86,22,13,69,49,66,47,22,13,103,22,22,57,22,37,22,49,59,56,22,55,21,22,21,22,22,22,22,22,13,57,22,22,13,22,22,22,13,22,27,27,27,22,27,27,13,22,22,22,27,22,27,22,22,13,27,22,27,27,13,22,22,22,22,22,27,22,27,27,13,27,27,22,22,22,22,27,22,13,22,22,27,27,13,27,22,22,22,27,27,22,22,22,22,22,22,22,13,27,
DataUtil_ESTest::test12 ,19,5,4,5,5,19,16,11,24,15,8,13,9,23,22,25,27,0,2,0,72,21,12,14,40,69,61,19,32,19,30,21,21,21,21,21,20,20,19,37,21,21,21,21,12,21,21,45,21,12,12,29,29,21,21,21,21,21,39,21,37,20,37,21,20,21,21,56,29,20,93,20,12,26,21,49,21,21,66,12,12,21,21,39,59,21,21,21,21,21,56,87,21,45,21,64,21,21,21,21,12,21,26,21,93,21,21,21,21,59,57,97,21,56,59,91,77,91,21,49,59,84,21,21,21,107,21,86,21,12,93,86,21,12,69,49,66,47,21,12,103,21,21,57,21,37,21,49,59,56,21,55,20,21,20,21,21,21,21,21,12,57,21,21,12,21,21,21,12,21,26,26,26,21,26,26,12,21,21,21,26,21,26,21,21,12,26,21,26,26,12,21,21,21,21,21,26,21,26,26,12,26,26,21,21,21,21,26,21,12,21,21,26,26,12,26,21,21,21,26,26,21,21,21,21,21,21,21,12,26,
ParseTest::testBaidu ,58,74,71,74,74,63,62,63,63,63,68,62,64,58,64,61,61,72,73,72,0,51,60,59,40,38,29,53,46,54,45,65,65,65,65,67,66,66,66,58,65,65,65,67,69,65,65,55,65,69,69,60,60,65,65,65,65,65,57,65,58,66,58,65,66,65,65,56,60,66,70,66,69,64,65,54,67,67,59,69,69,65,65,57,52,65,65,65,65,65,56,61,65,55,67,59,65,65,65,65,69,65,64,65,70,65,65,65,65,52,56,67,65,56,54,69,54,69,65,54,54,65,65,65,65,75,65,59,65,69,70,59,67,69,55,55,59,54,65,69,77,65,65,55,65,58,65,54,53,56,65,55,66,65,66,65,65,65,65,65,69,56,67,65,69,65,65,65,69,65,64,64,64,65,64,64,69,67,65,65,64,65,64,65,65,69,64,65,64,64,69,65,65,65,65,65,64,65,64,64,69,64,64,65,67,65,67,64,67,69,65,65,64,64,69,64,65,65,65,64,64,65,65,65,65,65,65,65,69,64,
ParseTest::testBaiduVariant ,16,23,21,23,23,21,19,13,21,17,20,15,14,17,20,19,23,21,22,21,51,0,9,8,21,49,41,7,14,8,12,23,23,23,23,24,24,24,24,31,23,23,23,24,23,23,23,38,23,23,23,26,26,23,23,23,23,23,31,23,31,24,31,23,24,23,23,44,26,24,78,24,23,26,23,40,24,24,54,23,23,23,23,31,49,23,23,23,23,23,44,73,23,38,24,52,23,23,23,23,23,23,26,23,78,23,23,23,23,49,49,82,23,44,48,76,65,76,23,40,48,71,23,23,23,92,23,71,23,23,78,71,24,23,57,41,54,38,23,23,88,23,23,49,23,31,23,40,49,44,23,47,24,23,24,23,23,23,23,23,23,49,24,23,23,23,23,23,23,23,26,26,26,23,26,26,23,24,23,23,26,23,26,23,23,23,26,23,26,26,23,23,23,23,23,23,26,23,26,26,23,26,26,23,24,23,24,26,24,23,23,23,26,26,23,26,23,23,23,26,26,23,23,23,23,23,23,23,23,26,
ParseTest::testBinary ,14,14,13,14,14,18,16,8,20,14,14,12,6,15,19,19,23,12,13,12,60,9,0,4,28,58,49,7,20,7,18,18,18,18,18,19,18,18,18,31,18,18,18,19,16,18,18,39,18,16,16,25,25,18,18,18,18,18,33,18,31,18,31,18,18,18,18,47,25,18,84,18,16,23,18,43,19,19,57,16,16,18,18,33,52,18,18,18,18,18,47,78,18,39,19,55,18,18,18,18,16,18,23,18,84,18,18,18,18,52,51,88,18,47,52,82,69,82,18,43,52,75,18,18,18,98,18,77,18,16,84,77,19,16,61,43,57,41,18,16,94,18,18,51,18,31,18,43,52,47,18,49,18,18,18,18,18,18,18,18,16,51,19,18,16,18,18,18,16,18,23,23,23,18,23,23,16,19,18,18,23,18,23,18,18,16,23,18,23,23,16,18,18,18,18,18,23,18,23,23,16,23,23,18,19,18,19,23,19,16,18,18,23,23,16,23,18,18,18,23,23,18,18,18,18,18,18,18,16,23,
ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote ,14,16,15,16,16,19,16,6,21,13,14,11,7,16,20,20,23,14,15,14,59,8,4,0,28,57,49,8,20,9,18,19,19,19,19,20,20,20,20,31,19,19,19,20,17,19,19,39,19,17,17,25,25,19,19,19,19,19,33,19,31,20,31,19,20,19,19,47,25,20,84,20,17,24,19,43,20,20,57,17,17,19,19,33,53,19,19,19,19,19,47,78,19,39,20,55,19,19,19,19,17,19,24,19,84,19,19,19,19,53,51,88,19,47,53,82,70,82,19,43,53,75,19,19,19,98,19,77,19,17,84,77,20,17,62,43,57,41,19,17,94,19,19,51,19,31,19,43,53,47,19,49,20,19,20,19,19,19,19,19,17,51,20,19,17,19,19,19,17,19,24,24,24,19,24,24,17,20,19,19,24,19,24,19,19,17,24,19,24,24,17,19,19,19,19,19,24,19,24,24,17,24,24,19,20,19,20,24,20,17,19,19,24,24,17,24,19,19,19,24,24,19,19,19,19,19,19,19,17,24,
ParseTest::testGoogleSearchIpod ,28,42,39,42,42,34,33,33,33,34,36,32,32,28,33,28,30,40,41,40,40,21,28,28,0,38,26,23,15,22,12,38,38,38,38,38,38,38,38,35,38,38,38,38,39,38,38,36,38,39,39,35,35,38,38,38,38,38,36,38,35,38,35,38,38,38,38,42,35,38,69,38,39,36,38,40,38,38,48,39,39,38,38,36,42,38,38,38,38,38,42,66,38,36,38,48,38,38,38,38,39,38,36,38,69,38,38,38,38,42,44,74,38,42,44,69,58,69,38,40,44,63,38,38,38,83,38,64,38,39,69,64,38,39,51,39,48,38,38,39,79,38,38,44,38,35,38,40,43,42,38,42,38,38,38,38,38,38,38,38,39,44,38,38,39,38,38,38,39,38,36,36,36,38,36,36,39,38,38,38,36,38,36,38,38,39,36,38,36,36,39,38,38,38,38,38,36,38,36,36,39,36,36,38,38,38,38,36,38,39,38,38,36,36,39,36,38,38,38,36,36,38,38,38,38,38,38,38,39,36,
ParseTest::testHtml5Charset ,56,72,68,72,72,58,60,59,61,60,65,59,60,55,62,59,60,69,69,69,38,49,58,57,38,0,32,53,42,53,45,61,61,61,61,62,62,62,62,55,61,61,61,62,66,61,61,53,61,66,66,57,57,61,61,61,61,61,55,61,55,62,55,61,62,61,61,57,57,62,69,62,66,60,61,55,62,62,57,66,66,61,61,55,56,61,61,61,61,61,57,66,61,53,62,56,61,61,61,61,66,61,60,61,69,61,61,61,61,56,55,72,61,57,56,68,59,68,61,55,56,63,61,61,61,79,61,64,61,66,69,64,62,66,57,55,57,53,61,66,76,61,61,54,61,55,61,55,57,57,61,53,62,61,62,61,61,61,61,61,66,55,62,61,66,61,61,61,66,61,60,60,60,61,60,60,66,62,61,61,60,61,60,61,61,66,60,61,60,60,66,61,61,61,61,61,60,61,60,60,66,60,60,61,62,61,62,60,62,66,61,61,60,60,66,60,61,61,61,60,60,61,61,61,61,61,61,61,66,60,
ParseTest::testNewsHomepage ,47,63,60,63,63,52,51,54,52,53,57,52,53,48,53,51,49,61,62,61,29,41,49,49,26,32,0,43,31,42,31,56,56,56,56,58,58,57,58,47,56,56,56,58,58,56,56,46,56,58,58,52,52,56,56,56,56,56,46,56,47,58,47,56,57,56,56,49,52,58,66,58,58,55,56,47,58,58,51,58,58,56,56,46,48,56,56,56,56,56,49,63,56,46,58,52,56,56,56,56,58,56,55,56,66,56,56,56,56,48,45,72,56,49,46,66,58,66,56,47,46,59,56,56,56,79,56,62,56,58,66,62,58,58,49,45,51,45,56,58,73,56,56,45,56,47,56,47,49,49,56,45,58,56,57,56,56,56,56,56,58,45,58,56,58,56,56,56,58,56,55,55,55,56,55,55,58,58,56,56,55,56,55,56,56,58,55,56,55,55,58,56,56,56,56,56,55,56,55,55,58,55,55,56,58,56,58,55,58,58,56,56,55,55,58,55,56,56,56,55,55,56,56,56,56,56,56,56,58,55,
ParseTest::testNytArticle ,12,21,20,21,21,22,20,12,17,16,17,13,12,11,16,19,22,19,20,19,53,7,7,8,23,53,43,0,14,1,12,21,21,21,21,22,22,22,22,31,21,21,21,22,20,21,21,38,21,20,20,23,23,21,21,21,21,21,31,21,31,22,31,21,22,21,21,44,23,22,79,22,20,22,21,40,22,22,54,20,20,21,21,31,48,21,21,21,21,21,44,75,21,38,22,52,21,21,21,21,20,21,22,21,79,21,21,21,21,48,49,85,21,44,48,77,66,77,21,40,48,72,21,21,21,95,21,73,21,20,79,73,22,20,58,40,54,38,21,20,89,21,21,49,21,31,21,40,49,44,21,47,22,21,22,21,21,21,21,21,20,49,22,21,20,21,21,21,20,21,22,22,22,21,22,22,20,22,21,21,22,21,22,21,21,20,22,21,22,22,20,21,21,21,21,21,22,21,22,22,20,22,22,21,22,21,22,22,22,20,21,21,22,22,20,22,21,21,21,22,22,21,21,21,21,21,21,21,20,22,
ParseTest::testSmhBizArticle ,19,34,31,34,34,28,27,25,24,25,28,23,24,18,24,22,25,32,33,32,46,14,20,20,15,42,31,14,0,13,9,31,31,31,31,32,32,32,32,30,31,31,31,32,30,31,31,35,31,30,30,29,29,31,31,31,31,31,32,31,30,32,30,31,32,31,31,42,29,32,72,32,30,29,31,36,32,32,50,30,30,31,31,32,43,31,31,31,31,31,42,70,31,35,32,49,31,31,31,31,30,31,29,31,72,31,31,31,31,43,45,78,31,42,44,71,59,71,31,36,44,65,31,31,31,87,31,66,31,30,72,66,32,30,52,37,50,35,31,30,81,31,31,45,31,30,31,36,44,42,31,43,32,31,32,31,31,31,31,31,30,45,32,31,30,31,31,31,30,31,29,29,29,31,29,29,30,32,31,31,29,31,29,31,31,30,29,31,29,29,30,31,31,31,31,31,29,31,29,29,30,29,29,31,32,31,32,29,32,30,31,31,29,29,30,29,31,31,31,29,29,31,31,31,31,31,31,31,30,29,
ParseTest::testYahooArticle ,12,21,20,21,21,21,19,13,17,16,16,12,11,10,16,19,22,19,20,19,54,8,7,9,22,53,42,1,13,0,11,21,21,21,21,22,22,22,22,31,21,21,21,22,20,21,21,38,21,20,20,23,23,21,21,21,21,21,31,21,31,22,31,21,22,21,21,43,23,22,78,22,20,23,21,39,22,22,53,20,20,21,21,31,47,21,21,21,21,21,43,74,21,38,22,51,21,21,21,21,20,21,23,21,78,21,21,21,21,47,49,84,21,43,47,76,65,76,21,39,47,71,21,21,21,94,21,72,21,20,78,72,22,20,57,39,53,37,21,20,88,21,21,49,21,31,21,39,48,43,21,47,22,21,22,21,21,21,21,21,20,49,22,21,20,21,21,21,20,21,23,23,23,21,23,23,20,22,21,21,23,21,23,21,21,20,23,21,23,23,20,21,21,21,21,21,23,21,23,23,20,23,23,21,22,21,22,23,22,20,21,21,23,23,20,23,21,21,21,23,23,21,21,21,21,21,21,21,20,23,
ParseTest::testYahooJp ,20,32,29,32,32,26,25,23,24,24,26,22,22,19,23,21,24,30,31,30,45,12,18,18,12,45,31,12,9,11,0,30,30,30,30,31,31,30,30,30,30,30,30,31,29,30,30,36,30,29,29,28,28,30,30,30,30,30,32,30,30,31,30,30,30,30,30,42,28,31,72,31,29,29,30,37,31,31,50,29,29,30,30,32,43,30,30,30,30,30,42,69,30,36,31,49,30,30,30,30,29,30,29,30,72,30,30,30,30,43,45,78,30,42,45,72,60,72,30,37,45,66,30,30,30,87,30,66,30,29,72,66,31,29,52,38,50,36,30,29,82,30,30,45,30,30,30,37,44,42,30,43,31,30,30,30,30,30,30,30,29,45,31,30,29,30,30,30,29,30,29,29,29,30,29,29,29,31,30,30,29,30,29,30,30,29,29,30,29,29,29,30,30,30,30,30,29,30,29,29,29,29,29,30,31,30,31,29,31,29,30,30,29,29,29,29,30,30,30,29,29,30,30,30,30,30,30,30,29,29,
RegressionTest0::test001 ,20,23,22,23,23,21,20,17,22,21,21,17,16,22,23,27,26,21,22,21,65,23,18,19,38,61,56,21,31,21,30,0,0,0,0,2,2,2,2,17,0,0,0,2,11,0,0,25,0,11,11,9,9,0,0,0,0,0,19,0,17,2,17,0,2,0,0,36,9,2,73,2,11,7,0,29,2,2,46,11,11,0,0,19,39,0,0,0,0,0,36,67,0,25,2,44,0,0,0,0,11,0,7,0,73,0,0,0,0,39,37,77,0,36,39,71,57,71,0,29,39,64,0,0,0,87,0,66,0,11,73,66,2,11,49,29,46,27,0,11,83,0,0,37,0,17,0,29,39,36,0,35,2,0,2,0,0,0,0,0,11,37,2,0,11,0,0,0,11,0,7,7,7,0,7,7,11,2,0,0,7,0,7,0,0,11,7,0,7,7,11,0,0,0,0,0,7,0,7,7,11,7,7,0,2,0,2,7,2,11,0,0,7,7,11,7,0,0,0,7,7,0,0,0,0,0,0,0,11,7,
RegressionTest0::test002 ,20,23,22,23,23,21,20,17,22,21,21,17,16,22,23,27,26,21,22,21,65,23,18,19,38,61,56,21,31,21,30,0,0,0,0,2,2,2,2,17,0,0,0,2,11,0,0,25,0,11,11,9,9,0,0,0,0,0,19,0,17,2,17,0,2,0,0,36,9,2,73,2,11,7,0,29,2,2,46,11,11,0,0,19,39,0,0,0,0,0,36,67,0,25,2,44,0,0,0,0,11,0,7,0,73,0,0,0,0,39,37,77,0,36,39,71,57,71,0,29,39,64,0,0,0,87,0,66,0,11,73,66,2,11,49,29,46,27,0,11,83,0,0,37,0,17,0,29,39,36,0,35,2,0,2,0,0,0,0,0,11,37,2,0,11,0,0,0,11,0,7,7,7,0,7,7,11,2,0,0,7,0,7,0,0,11,7,0,7,7,11,0,0,0,0,0,7,0,7,7,11,7,7,0,2,0,2,7,2,11,0,0,7,7,11,7,0,0,0,7,7,0,0,0,0,0,0,0,11,7,
