:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test0,DataUtil_ESTest::test1,DataUtil_ESTest::test2,DataUtil_ESTest::test3,DataUtil_ESTest::test4,DataUtil_ESTest::test5,DataUtil_ESTest::test6,DataUtil_ESTest::test7,DataUtil_ESTest::test8,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,
DataUtil_ESTest::test7 ,19,19,12,15,27,11,15,16,17,26,0,2,26,21,21,26,26,21,26,19,21,21,21,26,26,12,21,12,26,21,21,21,26,21,12,26,21,26,21,21,26,26,26,21,26,21,21,26,26,26,21,26,
DataUtil_ESTest::test8 ,19,19,13,15,28,12,16,15,16,27,2,0,27,22,22,27,27,22,27,20,22,22,22,27,27,13,22,13,27,22,22,22,27,22,13,27,22,27,22,22,27,27,27,22,27,22,22,27,27,27,22,27,
RegressionTest0::test01 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test02 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test03 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test04 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test05 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test06 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test07 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test08 ,22,20,20,20,26,18,19,20,21,25,19,20,9,2,2,9,9,2,9,0,2,2,2,9,9,9,2,9,9,2,2,2,9,2,9,9,2,9,2,2,9,9,9,2,9,2,2,9,9,9,2,9,
RegressionTest0::test09 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test10 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test11 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test12 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test13 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test14 ,18,17,13,14,26,15,14,17,18,23,12,13,16,11,11,16,16,11,16,9,11,11,11,16,16,0,11,0,16,11,11,11,16,11,0,16,11,16,11,11,16,16,16,11,16,11,11,16,16,16,11,16,
RegressionTest0::test15 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test16 ,18,17,13,14,26,15,14,17,18,23,12,13,16,11,11,16,16,11,16,9,11,11,11,16,16,0,11,0,16,11,11,11,16,11,0,16,11,16,11,11,16,16,16,11,16,11,11,16,16,16,11,16,
RegressionTest0::test17 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test18 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test19 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test20 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test21 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test22 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test23 ,18,17,13,14,26,15,14,17,18,23,12,13,16,11,11,16,16,11,16,9,11,11,11,16,16,0,11,0,16,11,11,11,16,11,0,16,11,16,11,11,16,16,16,11,16,11,11,16,16,16,11,16,
RegressionTest0::test24 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test25 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test26 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test27 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test28 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test29 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test30 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test31 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test32 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test33 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test34 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test35 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test36 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test37 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test38 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
RegressionTest0::test39 ,20,21,20,18,26,17,17,20,23,23,21,22,7,0,0,7,7,0,7,2,0,0,0,7,7,11,0,11,7,0,0,0,7,0,11,7,0,7,0,0,7,7,7,0,7,0,0,7,7,7,0,7,
RegressionTest0::test40 ,21,25,25,24,26,23,23,25,22,23,26,27,0,7,7,0,0,7,0,9,7,7,7,0,0,16,7,16,0,7,7,7,0,7,16,0,7,0,7,7,0,0,0,7,0,7,7,0,0,0,7,0,
