:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test0,DataUtil_ESTest::test1,DataUtil_ESTest::test2,DataUtil_ESTest::test3,DataUtil_ESTest::test4,DataUtil_ESTest::test5,DataUtil_ESTest::test6,DataUtil_ESTest::test7,DataUtil_ESTest::test8,RegressionTest0::test001,RegressionTest0::test002,RegressionTest0::test003,RegressionTest0::test004,RegressionTest0::test005,RegressionTest0::test006,RegressionTest0::test007,RegressionTest0::test008,RegressionTest0::test009,RegressionTest0::test010,RegressionTest0::test011,RegressionTest0::test012,RegressionTest0::test013,RegressionTest0::test014,RegressionTest0::test015,RegressionTest0::test016,RegressionTest0::test017,RegressionTest0::test018,RegressionTest0::test019,RegressionTest0::test020,RegressionTest0::test021,RegressionTest0::test022,RegressionTest0::test023,RegressionTest0::test024,RegressionTest0::test025,RegressionTest0::test026,RegressionTest0::test027,RegressionTest0::test028,RegressionTest0::test029,RegressionTest0::test030,RegressionTest0::test031,RegressionTest0::test032,RegressionTest0::test033,RegressionTest0::test034,RegressionTest0::test035,RegressionTest0::test036,RegressionTest0::test037,RegressionTest0::test038,RegressionTest0::test039,RegressionTest0::test040,RegressionTest0::test041,RegressionTest0::test042,RegressionTest0::test043,RegressionTest0::test044,RegressionTest0::test045,RegressionTest0::test046,RegressionTest0::test047,RegressionTest0::test048,RegressionTest0::test049,RegressionTest0::test050,RegressionTest0::test051,RegressionTest0::test052,RegressionTest0::test053,RegressionTest0::test054,RegressionTest0::test055,RegressionTest0::test056,RegressionTest0::test057,RegressionTest0::test058,RegressionTest0::test059,RegressionTest0::test060,RegressionTest0::test061,RegressionTest0::test062,RegressionTest0::test063,RegressionTest0::test064,RegressionTest0::test065,RegressionTest0::test066,RegressionTest0::test067,RegressionTest0::test068,RegressionTest0::test069,RegressionTest0::test070,RegressionTest0::test071,RegressionTest0::test072,RegressionTest0::test073,RegressionTest0::test074,RegressionTest0::test075,RegressionTest0::test076,RegressionTest0::test077,RegressionTest0::test078,RegressionTest0::test079,RegressionTest0::test080,RegressionTest0::test081,RegressionTest0::test082,RegressionTest0::test083,RegressionTest0::test084,RegressionTest0::test085,RegressionTest0::test086,RegressionTest0::test087,RegressionTest0::test088,RegressionTest0::test089,RegressionTest0::test090,RegressionTest0::test091,RegressionTest0::test092,RegressionTest0::test093,RegressionTest0::test094,RegressionTest0::test095,RegressionTest0::test096,RegressionTest0::test097,RegressionTest0::test098,RegressionTest0::test099,RegressionTest0::test100,RegressionTest0::test101,RegressionTest0::test102,RegressionTest0::test103,RegressionTest0::test104,RegressionTest0::test105,RegressionTest0::test106,RegressionTest0::test107,RegressionTest0::test108,RegressionTest0::test109,RegressionTest0::test110,RegressionTest0::test111,RegressionTest0::test112,RegressionTest0::test113,RegressionTest0::test114,RegressionTest0::test115,RegressionTest0::test116,RegressionTest0::test117,RegressionTest0::test118,RegressionTest0::test119,RegressionTest0::test120,RegressionTest0::test121,RegressionTest0::test122,RegressionTest0::test123,RegressionTest0::test124,RegressionTest0::test125,RegressionTest0::test126,RegressionTest0::test127,RegressionTest0::test128,RegressionTest0::test129,RegressionTest0::test130,RegressionTest0::test131,RegressionTest0::test132,RegressionTest0::test133,RegressionTest0::test134,RegressionTest0::test135,RegressionTest0::test136,RegressionTest0::test137,RegressionTest0::test138,RegressionTest0::test139,RegressionTest0::test140,RegressionTest0::test141,RegressionTest0::test142,RegressionTest0::test143,RegressionTest0::test144,RegressionTest0::test145,RegressionTest0::test146,RegressionTest0::test147,RegressionTest0::test148,RegressionTest0::test149,RegressionTest0::test150,RegressionTest0::test151,RegressionTest0::test152,RegressionTest0::test153,
DataUtil_ESTest::test7 ,19,15,9,17,15,11,16,9,16,17,0,2,19,12,26,21,12,48,21,21,21,75,48,21,12,55,21,21,12,21,21,29,21,12,21,29,55,21,12,21,55,21,21,65,21,21,12,64,12,91,21,26,64,63,100,72,21,46,90,26,21,21,100,21,63,12,21,12,55,12,48,67,92,21,21,57,21,12,12,48,12,103,65,21,21,38,26,12,21,21,92,21,21,83,12,100,75,21,63,21,21,21,21,21,76,103,57,65,21,75,12,64,12,119,93,84,21,21,47,21,12,12,99,21,21,21,21,21,75,21,21,21,21,12,101,21,83,21,21,92,21,21,128,21,84,89,64,21,21,21,21,26,21,21,21,12,26,26,21,26,26,21,21,12,26,
DataUtil_ESTest::test8 ,19,16,10,15,14,12,17,10,16,17,2,0,20,13,27,22,13,48,22,22,22,75,48,22,13,55,22,22,13,22,22,29,22,13,22,29,55,22,13,22,55,22,22,65,22,22,13,64,13,91,22,27,64,63,100,72,22,46,90,27,22,22,100,22,63,13,22,13,55,13,48,67,92,22,22,57,22,13,13,48,13,103,65,22,22,38,27,13,22,22,92,22,22,83,13,100,75,22,63,22,22,22,22,22,76,103,57,65,22,75,13,64,13,119,93,84,22,22,47,22,13,13,99,22,22,22,22,22,75,22,22,22,22,13,101,22,83,22,22,92,22,22,128,22,84,89,64,22,22,22,22,27,22,22,22,13,27,27,22,27,27,22,22,13,27,
RegressionTest0::test001 ,22,21,20,20,20,18,19,15,20,19,19,20,0,9,9,2,9,30,2,2,2,57,30,2,9,37,2,2,9,2,2,11,2,9,2,11,37,2,9,2,37,2,2,47,2,2,9,46,9,73,2,9,46,45,82,54,2,28,72,9,2,2,82,2,45,9,2,9,37,9,30,49,74,2,2,39,2,9,9,30,9,85,47,2,2,20,9,9,2,2,74,2,2,65,9,82,57,2,45,2,2,2,2,2,58,85,39,47,2,57,9,46,9,101,75,66,2,2,29,2,9,9,81,2,2,2,2,2,57,2,2,2,2,9,83,2,65,2,2,74,2,2,110,2,66,71,46,2,2,2,2,9,2,2,2,9,9,9,2,9,9,2,2,9,9,
RegressionTest0::test002 ,18,14,14,15,15,15,14,15,18,17,12,13,9,0,16,11,0,37,11,11,11,64,37,11,0,44,11,11,0,11,11,18,11,0,11,18,44,11,0,11,44,11,11,54,11,11,0,53,0,80,11,16,53,52,89,61,11,35,79,16,11,11,89,11,52,0,11,0,44,0,37,56,81,11,11,46,11,0,0,37,0,92,54,11,11,27,16,0,11,11,81,11,11,72,0,89,64,11,52,11,11,11,11,11,65,92,46,54,11,64,0,53,0,108,82,73,11,11,36,11,0,0,88,11,11,11,11,11,64,11,11,11,11,0,90,11,72,11,11,81,11,11,117,11,73,78,53,11,11,11,11,16,11,11,11,0,16,16,11,16,16,11,11,0,16,
RegressionTest0::test003 ,21,26,25,24,25,23,23,19,18,22,26,27,9,16,0,7,16,24,7,7,7,52,24,7,16,32,7,7,16,7,7,4,7,16,7,4,32,7,16,7,31,7,7,41,7,7,16,41,16,68,7,0,41,39,77,49,7,22,67,0,7,7,77,7,39,16,7,16,32,16,25,44,68,7,7,34,7,16,16,24,16,80,42,7,7,15,0,16,7,7,68,7,7,59,16,77,51,7,39,7,7,7,7,7,53,80,33,42,7,52,16,41,16,95,69,61,7,7,24,7,16,16,76,7,7,7,7,7,52,7,7,7,7,16,77,7,59,7,7,68,7,7,105,7,60,66,41,7,7,7,7,0,7,7,7,16,0,0,7,0,0,7,7,16,0,
RegressionTest0::test004 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test005 ,18,14,14,15,15,15,14,15,18,17,12,13,9,0,16,11,0,37,11,11,11,64,37,11,0,44,11,11,0,11,11,18,11,0,11,18,44,11,0,11,44,11,11,54,11,11,0,53,0,80,11,16,53,52,89,61,11,35,79,16,11,11,89,11,52,0,11,0,44,0,37,56,81,11,11,46,11,0,0,37,0,92,54,11,11,27,16,0,11,11,81,11,11,72,0,89,64,11,52,11,11,11,11,11,65,92,46,54,11,64,0,53,0,108,82,73,11,11,36,11,0,0,88,11,11,11,11,11,64,11,11,11,11,0,90,11,72,11,11,81,11,11,117,11,73,78,53,11,11,11,11,16,11,11,11,0,16,16,11,16,16,11,11,0,16,
RegressionTest0::test006 ,38,41,45,39,40,41,38,40,37,41,48,48,30,37,24,28,37,0,28,28,28,34,0,28,37,13,28,28,37,28,28,21,28,37,28,21,13,28,37,28,12,28,28,20,28,28,37,22,37,49,28,24,22,20,58,30,28,2,48,24,28,28,58,28,20,37,28,37,13,37,4,22,49,28,28,12,28,37,37,0,37,58,23,28,28,13,24,37,28,28,50,28,28,40,37,58,29,28,20,28,28,28,28,28,31,61,11,23,28,34,37,22,37,78,51,39,28,28,4,28,37,37,57,28,28,28,28,28,34,28,28,28,28,37,59,28,40,28,28,50,28,28,87,28,38,47,22,28,28,28,28,24,28,28,28,37,24,24,28,24,24,28,28,37,24,
RegressionTest0::test007 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test008 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test009 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test010 ,61,69,70,65,67,67,64,67,64,67,75,75,57,64,52,55,64,34,55,55,55,0,34,55,64,23,55,55,64,55,55,49,55,64,55,49,23,55,64,55,24,55,55,34,55,55,64,33,64,29,55,52,32,32,33,36,55,34,28,52,55,55,34,55,32,64,55,64,23,64,34,35,20,55,55,25,55,64,64,34,64,42,32,55,55,40,52,64,55,55,20,55,55,24,64,28,15,55,32,55,55,55,55,55,40,31,26,33,55,0,64,33,64,52,21,23,55,55,34,55,64,64,32,55,55,55,55,55,0,55,55,55,55,64,33,55,24,55,55,20,55,55,60,55,19,47,32,55,55,55,55,52,55,55,55,64,52,52,55,52,52,55,55,64,52,
RegressionTest0::test011 ,38,41,45,39,40,41,38,40,37,41,48,48,30,37,24,28,37,0,28,28,28,34,0,28,37,13,28,28,37,28,28,21,28,37,28,21,13,28,37,28,12,28,28,20,28,28,37,22,37,49,28,24,22,20,58,30,28,2,48,24,28,28,58,28,20,37,28,37,13,37,4,22,49,28,28,12,28,37,37,0,37,58,23,28,28,13,24,37,28,28,50,28,28,40,37,58,29,28,20,28,28,28,28,28,31,61,11,23,28,34,37,22,37,78,51,39,28,28,4,28,37,37,57,28,28,28,28,28,34,28,28,28,28,37,59,28,40,28,28,50,28,28,87,28,38,47,22,28,28,28,28,24,28,28,28,37,24,24,28,24,24,28,28,37,24,
RegressionTest0::test012 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test013 ,18,14,14,15,15,15,14,15,18,17,12,13,9,0,16,11,0,37,11,11,11,64,37,11,0,44,11,11,0,11,11,18,11,0,11,18,44,11,0,11,44,11,11,54,11,11,0,53,0,80,11,16,53,52,89,61,11,35,79,16,11,11,89,11,52,0,11,0,44,0,37,56,81,11,11,46,11,0,0,37,0,92,54,11,11,27,16,0,11,11,81,11,11,72,0,89,64,11,52,11,11,11,11,11,65,92,46,54,11,64,0,53,0,108,82,73,11,11,36,11,0,0,88,11,11,11,11,11,64,11,11,11,11,0,90,11,72,11,11,81,11,11,117,11,73,78,53,11,11,11,11,16,11,11,11,0,16,16,11,16,16,11,11,0,16,
RegressionTest0::test014 ,44,49,52,46,48,48,45,47,45,48,55,55,37,44,32,35,44,13,35,35,35,23,13,35,44,0,35,35,44,35,35,29,35,44,35,29,0,35,44,35,1,35,35,13,35,35,44,12,44,38,35,32,11,11,47,19,35,12,37,32,35,35,48,35,11,44,35,44,1,44,14,14,43,35,35,2,35,44,44,13,44,51,12,35,35,20,32,44,35,35,43,35,35,32,44,51,25,35,11,35,35,35,35,35,23,54,3,13,35,23,44,12,44,73,44,31,35,35,13,35,44,44,46,35,35,35,35,35,23,35,35,35,35,44,54,35,32,35,35,43,35,35,81,35,34,36,11,35,35,35,35,32,35,35,35,44,32,32,35,32,32,35,35,44,32,
RegressionTest0::test015 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test016 ,20,21,20,18,21,17,17,13,21,21,21,22,2,11,7,0,11,28,0,0,0,55,28,0,11,35,0,0,11,0,0,9,0,11,0,9,35,0,11,0,35,0,0,45,0,0,11,44,11,71,0,7,44,43,80,52,0,26,70,7,0,0,80,0,43,11,0,11,35,11,28,47,72,0,0,37,0,11,11,28,11,83,45,0,0,18,7,11,0,0,72,0,0,63,11,80,55,0,43,0,0,0,0,0,56,83,37,45,0,55,11,44,11,99,73,64,0,0,27,0,11,11,79,0,0,0,0,0,55,0,0,0,0,11,81,0,63,0,0,72,0,0,108,0,64,69,44,0,0,0,0,7,0,0,0,11,7,7,0,7,7,0,0,11,7,
RegressionTest0::test017 ,18,14,14,15,15,15,14,15,18,17,12,13,9,0,16,11,0,37,11,11,11,64,37,11,0,44,11,11,0,11,11,18,11,0,11,18,44,11,0,11,44,11,11,54,11,11,0,53,0,80,11,16,53,52,89,61,11,35,79,16,11,11,89,11,52,0,11,0,44,0,37,56,81,11,11,46,11,0,0,37,0,92,54,11,11,27,16,0,11,11,81,11,11,72,0,89,64,11,52,11,11,11,11,11,65,92,46,54,11,64,0,53,0,108,82,73,11,11,36,11,0,0,88,11,11,11,11,11,64,11,11,11,11,0,90,11,72,11,11,81,11,11,117,11,73,78,53,11,11,11,11,16,11,11,11,0,16,16,11,16,16,11,11,0,16,
