Class::Test,Parser:35, Parser:67, Parser:68, Parser:70, Parser:72, Parser:74, Parser:76, Parser:89, Parser:110, Parser:120, Parser:127, Parser:129, Parser:137, Parser:145, Parser:151, Parser:159, Parser:161, Parser:173, Parser:176, Parser:178, Parser:183, Parser:190, Parser:216, Parser:221, Parser:229, Parser:236, Parser:242, Parser:245, Parser:248, Parser:256, Parser:257, Parser:269, Parser:273, Parser:275, Parser:280, Parser:281, 
RegressionTest9::test4521, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4522, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4523, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4524, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4525, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4526, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4527, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4528, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4529, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4530, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4531, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4532, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0,0,
RegressionTest9::test4533, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4534, 1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4535, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4536, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4537, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4538, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4539, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4540, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4541, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4542, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4543, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4544, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4545, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4546, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4547, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4548, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4549, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4550, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4551, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4552, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4553, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4554, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4555, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4556, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4557, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4558, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4559, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4560, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4561, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4562, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4563, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4564, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4565, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4566, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4567, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4568, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4569, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4570, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4571, 1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4572, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4573, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4574, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4575, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4576, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4577, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4578, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4579, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4580, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4581, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4582, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4583, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4584, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4585, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4586, 0.5,1,0.5,0.5,0.5,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4587, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4588, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4589, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4590, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4591, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4592, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4593, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4594, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4595, 0.5,1,0.5,0.5,0.5,1,1,0,1,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4596, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4597, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4598, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4599, 0.5,1,1,0.5,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4600, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4601, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4602, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4603, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4604, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4605, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4606, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4607, 0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4608, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4609, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4610, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4611, 0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4612, 1,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
RegressionTest9::test4613, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4614, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4615, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4616, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4617, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4618, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,
RegressionTest9::test4619, 0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest9::test4620, 0.5,1,0.5,0.5,0.5,1,1,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
RegressionTest9::test4621, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
