Class::Test,Whitelist:187, Whitelist:210, Whitelist:214, Whitelist:244, Whitelist:294, Whitelist:300, Whitelist:306, Whitelist:322, Whitelist:323, Whitelist:324, Whitelist:327, Whitelist:333, Whitelist:342, Whitelist:344, Whitelist:347, Whitelist:349, Whitelist:359, Whitelist:361, Whitelist:422, Whitelist:428, Whitelist:429, Whitelist:430, Whitelist:432, Whitelist:433, Whitelist:434, 
RegressionTest1::test516, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,
RegressionTest1::test517, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test518, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test519, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test520, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test521, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test522, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test523, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test524, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,1,0.5,0,0.5,
RegressionTest1::test525, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test526, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test527, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test528, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test529, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test530, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test531, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test532, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test533, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test534, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test535, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test536, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test537, 1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test538, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test539, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test540, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test541, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test542, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test543, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test544, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test545, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test546, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test547, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test548, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test549, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test550, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test551, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test552, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test553, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test554, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test555, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test556, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test557, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test558, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,
RegressionTest1::test559, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test560, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,1,0.5,0,0.5,
RegressionTest1::test561, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test562, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test563, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test564, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test565, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test566, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test567, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test568, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test569, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test570, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test571, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test572, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test573, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test574, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test575, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test576, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test577, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test578, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test579, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test580, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test581, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test582, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test583, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test584, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test585, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test586, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test587, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test588, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
RegressionTest1::test589, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test590, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test591, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test592, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test593, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test594, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test595, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test596, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test597, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test598, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test599, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test600, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test601, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test602, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test603, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test604, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test605, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test606, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test607, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test608, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test609, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test610, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test611, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test612, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test613, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test614, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test615, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test616, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test617, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test618, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test619, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test620, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test621, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test622, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test623, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test624, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test625, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test626, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test627, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test628, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test629, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test630, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test631, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test632, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test633, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test634, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test635, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test636, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test637, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test638, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test639, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test640, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test641, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test642, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test643, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test644, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test645, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test646, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test647, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test648, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test649, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test650, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test651, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test652, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test653, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test654, 0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test655, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test656, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test657, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test658, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
RegressionTest1::test659, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest1::test660, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest1::test661, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,
RegressionTest1::test662, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test663, 1,1,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test664, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest1::test665, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test001, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test004, 0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test005, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,
RegressionTest0::test007, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test011, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test012, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test013, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test014, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test015, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test016, 1,1,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test017, 1,1,0.5,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test018, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,
RegressionTest0::test019, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,
RegressionTest0::test020, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test021, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,
