Class::Test,CharacterReader:29, CharacterReader:33, CharacterReader:37, CharacterReader:64, CharacterReader:75, CharacterReader:87, CharacterReader:89, CharacterReader:90, CharacterReader:96, CharacterReader:107, CharacterReader:109, CharacterReader:120, CharacterReader:122, CharacterReader:132, CharacterReader:134, CharacterReader:143, CharacterReader:156, CharacterReader:160, CharacterReader:161, CharacterReader:168, CharacterReader:171, CharacterReader:175, CharacterReader:178, CharacterReader:182, CharacterReader:191, CharacterReader:203, 
RegressionTest8::test4063, 1,1,0.5,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4064, 1,1,0,0,0.5,0.5,0.5,1,0.5,0,0,0,0,0.5,0.5,0,1,0.5,1,0,0,0,0,0,0,0.5,
RegressionTest8::test4065, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4066, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4067, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4068, 0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4069, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4070, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4071, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4072, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4073, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4074, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4075, 1,1,0,0,0.5,0.5,0.5,1,0.5,0,0,0,0,0.5,0.5,0.5,1,0.5,1,0,0,0,0,0,0,0.5,
RegressionTest8::test4076, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4077, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4078, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4079, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4080, 0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4081, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4082, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4083, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4084, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0.5,0,0,
RegressionTest8::test4085, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4086, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4087, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4088, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4089, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4090, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4091, 0.5,0.5,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0,0,
RegressionTest8::test4092, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4093, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4094, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4095, 0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4096, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4097, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4098, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4099, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4100, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4101, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4102, 1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4103, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4104, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4105, 1,1,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4106, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4107, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4108, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4109, 0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4110, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4111, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4112, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4113, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4114, 0.5,0.5,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,0,0,
RegressionTest8::test4115, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4116, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4117, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4118, 0.5,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,
RegressionTest8::test4119, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4120, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4121, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4122, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4123, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4124, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4125, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4126, 1,1,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4127, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4128, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4129, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4130, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4131, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4132, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4133, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4134, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4135, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4136, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4137, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4138, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4139, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4140, 0.5,0,0,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4141, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4142, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4143, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4144, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4145, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4146, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4147, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4148, 0.5,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4149, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4150, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4151, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4152, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4153, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4154, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4155, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4156, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4157, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4158, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4159, 1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4160, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4161, 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4162, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4163, 0.5,0.5,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0,0,0,
RegressionTest8::test4164, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4165, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4166, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4167, 1,1,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4168, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4169, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4170, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4171, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4172, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4173, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4174, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4175, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4176, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4177, 1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4178, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4179, 1,1,0,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4180, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4181, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4182, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4183, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
