Class::Test,Cleaner:45, Cleaner:66, Cleaner:83, Cleaner:86, Cleaner:93, Cleaner:96, Cleaner:106, Cleaner:126, Cleaner:127, 
RegressionTest0::test147, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test148, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test149, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test150, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test151, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test152, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test153, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test154, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test155, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test156, 0,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test157, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test158, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test159, 0.5,0,1,0.5,1,1,0.5,0,0,
RegressionTest0::test160, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test161, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test162, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test163, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test164, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test165, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test166, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test167, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test168, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test169, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test170, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test171, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test172, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test173, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test174, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test175, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test176, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test177, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test178, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test179, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test180, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test181, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test182, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test183, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test184, 0.5,0,1,0.5,1,1,0.5,0,0,
RegressionTest0::test185, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test186, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test187, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test188, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test189, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test190, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test191, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test192, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test193, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test194, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test195, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test196, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test197, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test198, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test199, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test200, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test201, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test202, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test203, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test204, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test205, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test206, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test207, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test208, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test209, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test210, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test211, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test212, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test213, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test214, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test215, 0.5,0,1,0.5,1,1,0.5,0,0,
RegressionTest0::test216, 0.5,0,1,0.5,1,1,0.5,0,0,
RegressionTest0::test217, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test218, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test219, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test220, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test221, 1,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test222, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test223, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test224, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test225, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test226, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test227, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test228, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test229, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test230, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test231, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test232, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test233, 0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test234, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test235, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test236, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test237, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test238, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test239, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test240, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test241, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test242, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test243, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test244, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test245, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test246, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test247, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test248, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test249, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test250, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test251, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test252, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test253, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test254, 0,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test255, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test256, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test257, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test258, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test259, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test260, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test261, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test262, 1,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test263, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test264, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test265, 1,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test266, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test267, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test268, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test269, 1,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test270, 0,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test271, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test272, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test273, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test274, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test275, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test276, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test277, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test278, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test279, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test280, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test281, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test282, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test283, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test284, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test285, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test286, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test287, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test288, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test289, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test290, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test291, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test292, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test293, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test294, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test295, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test296, 1,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test297, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test298, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test299, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test300, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test301, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test302, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test303, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test304, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test305, 0,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test306, 0,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test307, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test308, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test309, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test310, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test311, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test312, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test313, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test314, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test315, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test316, 0.5,0,1,0.5,1,0.5,0.5,0,0,
RegressionTest0::test317, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test318, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test319, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test320, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test321, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test322, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test323, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test324, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test325, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test326, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test327, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test328, 0.5,0,0.5,0.5,0.5,0,0.5,0,0,
RegressionTest0::test329, 0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test330, 0.5,0,1,0.5,0.5,1,0.5,0,0,
RegressionTest0::test331, 0.5,0,1,0.5,0.5,0.5,0.5,0,0,
RegressionTest0::test332, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test333, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test334, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test335, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test336, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test337, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test338, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test339, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test340, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test341, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test342, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test343, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test344, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test345, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test346, 0,0,0,0,0,0,0,0,0,
RegressionTest0::test347, 0,0,0,0,0,0,0,0,0,
