Class::Test,Entities:32, Entities:34, Entities:36, Entities:38, Entities:48, Entities:54, Entities:57, Entities:59, Entities:65, Entities:69, Entities:2233, Entities:2237, 
RegressionTest0::test027, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test028, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test029, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test030, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test031, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test032, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test033, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test034, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test035, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test036, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test037, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test038, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test039, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test040, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test041, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test042, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test043, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test044, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test045, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test046, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test047, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test048, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test049, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test050, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test051, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test052, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test053, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test054, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test055, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test056, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test057, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test058, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test059, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test060, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test061, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test062, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test063, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test064, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test065, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test066, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test067, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test068, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test069, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test070, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test071, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test072, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test073, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test074, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test075, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test076, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test077, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test078, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test079, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test080, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test081, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test082, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test083, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test084, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test085, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test086, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test087, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test088, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test089, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test090, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test091, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test092, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test093, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test094, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test095, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test096, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test097, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test098, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test099, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test100, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test101, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test102, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test103, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test104, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test105, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test106, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test107, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test108, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test109, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test110, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test111, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test112, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test113, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test114, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test115, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test116, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test117, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test118, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test119, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test120, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test121, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test122, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test123, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test124, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test125, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test126, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test127, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test128, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test129, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test130, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test131, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test132, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test133, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test134, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test135, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test136, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test137, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test138, 0.5,1,0,0,0,0,0,0,0,0,1,1,
RegressionTest0::test139, 0.5,0.5,0,0,0,0,0,0,0,0,1,1,
Entities_ESTest::test0 , 0.5 , 1 , 1 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
Entities_ESTest::test1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
Entities_ESTest::test2 , 0.5 , 0.5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
Entities_ESTest::test3 , 0 , 0 , 0 , 0 , 0.5 , 1 , 0.5 , 0.5 , 0 , 0.5 , 1 , 1 
Entities_ESTest::test4 , 0 , 0 , 0 , 0 , 0.5 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
Entities_ESTest::test5 , 0 , 0 , 0 , 0 , 0.5 , 1 , 0.5 , 0 , 1 , 0.5 , 1 , 1 
Entities_ESTest::test6 , 0 , 0 , 0 , 0 , 0.5 , 1 , 0.5 , 0.5 , 0 , 0.5 , 1 , 1 
EntitiesTest::escape , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 
EntitiesTest::unescape , 0 , 0 , 0 , 0 , 0.5 , 1 , 1 , 1 , 1 , 0.5 , 1 , 1 
EntitiesTest::caseSensitive , 0.5 , 1 , 1 , 0.5 , 0.5 , 1 , 0.5 , 0 , 0.5 , 0.5 , 1 , 1 
